,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-1,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1180-3p,hsa-miR-1182,hsa-miR-1184,hsa-miR-1204,hsa-miR-1224-3p,hsa-miR-1231,hsa-miR-1252-3p,hsa-miR-125a-3p,hsa-miR-1260b,hsa-miR-1261,hsa-miR-1269b,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1292-3p,hsa-miR-1294,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-140-5p,hsa-miR-1470,hsa-miR-147b,hsa-miR-148a-5p,hsa-miR-148b-3p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-1537-3p,hsa-miR-183-5p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-192-5p,hsa-miR-193b-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-1972,hsa-miR-19b-2-5p,hsa-miR-200b-5p,hsa-miR-208a-5p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-2392,hsa-miR-24-2-5p,hsa-miR-26a-5p,hsa-miR-2861,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-31-5p,hsa-miR-3138,hsa-miR-3139,hsa-miR-3150a-5p,hsa-miR-3150b-3p,hsa-miR-3168,hsa-miR-3173-3p,hsa-miR-3184-5p,hsa-miR-3188,hsa-miR-3619-3p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3681-5p,hsa-miR-3689a-5p,hsa-miR-3689f,hsa-miR-369-3p,hsa-miR-378f,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3907,hsa-miR-3922-5p,hsa-miR-3938,hsa-miR-423-3p,hsa-miR-4254,hsa-miR-4270,hsa-miR-4271,hsa-miR-4304,hsa-miR-431-5p,hsa-miR-4431,hsa-miR-4445-5p,hsa-miR-4449,hsa-miR-4466,hsa-miR-4470,hsa-miR-4477a,hsa-miR-4479,hsa-miR-4526,hsa-miR-4537,hsa-miR-4538,hsa-miR-4640-5p,hsa-miR-4642,hsa-miR-4646-3p,hsa-miR-4675,hsa-miR-4676-5p,hsa-miR-4680-3p,hsa-miR-4682,hsa-miR-4688,hsa-miR-4699-3p,hsa-miR-4708-5p,hsa-miR-4713-3p,hsa-miR-4714-5p,hsa-miR-4716-3p,hsa-miR-4723-3p,hsa-miR-4724-5p,hsa-miR-4725-3p,hsa-miR-4745-3p,hsa-miR-4746-5p,hsa-miR-4757-3p,hsa-miR-4770,hsa-miR-4772-3p,hsa-miR-4783-5p,hsa-miR-4798-5p,hsa-miR-483-3p,hsa-miR-484,hsa-miR-493-3p,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-500b-5p,hsa-miR-502-5p,hsa-miR-504-3p,hsa-miR-510-3p,hsa-miR-511-5p,hsa-miR-515-3p,hsa-miR-5189-3p,hsa-miR-5189-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-518f-5p,hsa-miR-520b,hsa-miR-520c-3p,hsa-miR-520c-5p,hsa-miR-520h,hsa-miR-527,hsa-miR-545-3p,hsa-miR-548ac,hsa-miR-548ad,hsa-miR-548ah-3p,hsa-miR-548m,hsa-miR-548u,hsa-miR-550a-5p,hsa-miR-5582-5p,hsa-miR-5587-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5690,hsa-miR-5692c,hsa-miR-5698,hsa-miR-579-5p,hsa-miR-604,hsa-miR-6085,hsa-miR-6124,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6722-3p,hsa-miR-6735-5p,hsa-miR-6753-5p,hsa-miR-6777-3p,hsa-miR-6781-5p,hsa-miR-6789-3p,hsa-miR-6795-3p,hsa-miR-6804-5p,hsa-miR-6810-3p,hsa-miR-6818-5p,hsa-miR-6824-5p,hsa-miR-6826-5p,hsa-miR-6835-5p,hsa-miR-6836-3p,hsa-miR-6846-3p,hsa-miR-6846-5p,hsa-miR-6847-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6883-3p,hsa-miR-6892-3p,hsa-miR-7150,hsa-miR-7157-5p,hsa-miR-7515,hsa-miR-769-3p,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-7855-5p,hsa-miR-7975,hsa-miR-7976,hsa-miR-8060,hsa-miR-8079,hsa-miR-8081,hsa-miR-8082,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-892c-3p,hsa-miR-921,hsa-miR-92a-2-5p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Disese Group
sample_24,1478345.87,840.0,123298.08,77786.5,249.0,11.0,3118.0,0.0,0.0,0.0,83.0,0.0,6.0,520.33,0.0,0.0,1.0,365.0,30.0,0.0,14.0,6.08,6.0,6936.0,0.0,11.0,10.0,57468.67,10.0,2936.0,9.0,1670317.33,13138.42,1.5,59061.67,243.0,14.0,1469.25,0.0,0.0,6.0,0.0,12.0,244.0,2977.33,78.0,0.0,1.0,619079.32,0.0,382134.17,5.25,126725.59,18492.0,7.0,2.0,2.5,2.5,0.0,2.0,1607.67,6.0,1.0,1.0,2.0,9.0,0.0,0.0,1914.5,0.33,4.0,27.0,0.0,1.0,4.0,1607.17,7.0,0.0,0.0,0.0,152.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,6.5,0.0,0.0,1.5,0.0,7.67,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,25.0,11.0,936.17,311.17,271.0,91.33,10.0,91.33,21.0,0.0,0.0,0.0,1.0,3.0,0.0,11.5,8.5,1.0,1.0,1.0,0.0,2.5,0.0,4.0,0.0,0.0,0.0,2.0,0.0,3.5,0.0,0.0,4.0,6.0,4.0,0.0,9.0,6.0,0.0,0.0,0.0,10.0,12.5,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.33,141.08,34.5,42.0,0.0,0.0,5.0,0.0,1173.5,6569.67,4.67,1.0,0.0,33.5,0.0,0.0,0.0,0.0,1096.58,26.0,484.0,0.0,0.0,0.0,21633.84,256.5,19701.42,0
sample_25,1858171.88,2626.0,144758.33,171304.0,519.5,6.0,4529.5,0.0,0.0,0.0,199.5,5.0,29.0,727.67,0.0,0.0,4.75,576.0,73.0,0.0,51.5,47.75,11.0,12782.5,0.0,49.5,27.0,103705.0,11.0,7244.0,30.0,2617169.42,31526.92,4.0,135796.08,565.0,6.0,2607.83,0.0,0.0,21.0,2.0,33.0,341.5,5968.0,181.0,0.0,6.0,944099.46,0.0,829992.91,12.5,292987.41,23950.42,3.5,1.0,8.0,8.0,0.0,1.0,2411.75,5.0,0.0,12.0,5.0,16.0,0.0,0.0,3617.0,0.67,9.0,82.0,0.0,0.0,9.0,2411.75,10.0,0.0,0.0,0.0,196.0,1.0,0.0,0.0,1.0,19.0,0.0,1.0,6.5,0.0,0.0,2.0,0.0,12.42,0.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,2.0,2.0,5.0,4.0,0.0,2.0,0.0,46.0,1.0,1230.92,640.0,350.0,133.83,23.0,133.83,29.33,0.0,1.0,3.0,1.0,5.0,0.0,24.5,6.0,1.0,1.83,1.83,0.0,0.0,0.25,19.17,0.0,0.0,0.0,23.5,0.67,4.66,0.0,0.0,28.5,10.0,10.0,0.0,0.0,26.0,0.0,0.0,0.0,19.0,20.0,0.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,11.0,7.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,6.25,272.67,77.0,82.5,0.0,0.0,4.0,0.0,1946.5,13602.58,10.67,9.0,0.0,94.75,0.0,0.0,0.0,0.0,3092.92,43.17,809.0,0.0,0.0,0.0,46088.34,425.0,36399.25,0
sample_26,979381.07,1422.75,80560.33,109545.34,264.0,67.0,1372.0,0.0,0.0,0.0,97.0,3.0,13.0,299.0,0.0,0.0,0.0,174.0,27.0,0.0,17.5,26.75,6.0,8028.5,0.0,23.0,9.0,56758.67,7.0,6058.66,14.0,1094028.17,15481.58,1.5,79849.58,265.5,8.5,922.0,0.0,0.0,6.0,1.0,11.0,124.5,1838.0,60.0,0.0,7.0,491347.98,0.0,469603.17,6.5,166237.25,15351.75,1.0,0.0,2.0,2.0,0.0,0.0,857.5,4.0,0.0,3.0,2.0,11.0,0.0,0.0,2963.5,0.0,2.0,46.0,0.0,0.0,0.0,857.5,3.0,0.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27.0,1.0,404.25,394.33,336.0,71.5,13.0,71.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0,16.5,2.0,0.0,1.0,1.0,0.0,1.0,1.0,14.17,0.0,0.0,0.0,5.0,0.0,3.34,0.0,0.0,20.5,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,6.33,0.0,2.0,0.0,4.5,1.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,125.92,55.0,39.5,0.0,0.0,5.0,0.0,870.0,7489.92,3.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,2170.75,14.75,342.0,0.0,0.0,1.0,16076.66,185.0,19040.58,0
sample_27,885663.77,1481.08,73136.42,27777.34,218.0,9.0,2920.0,0.0,0.0,0.0,93.0,3.0,12.0,408.67,0.0,0.0,0.0,199.5,23.33,0.0,18.0,24.83,7.0,5476.5,0.0,17.0,10.0,41747.83,3.0,2459.34,16.0,1158088.75,16047.42,0.0,66052.75,367.0,4.0,1644.33,0.0,1.0,17.0,0.0,12.0,118.5,1844.5,130.0,0.0,1.0,384780.16,0.0,280760.83,3.5,129844.41,14800.0,5.0,0.0,2.5,2.5,0.67,1.0,1539.29,4.0,3.0,3.0,5.0,4.0,0.0,0.0,1659.5,0.0,5.08,19.0,0.0,0.0,4.0,1539.29,4.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,11.0,0.33,2.0,11.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.5,8.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,31.0,0.5,856.08,574.67,181.0,48.5,8.0,47.5,8.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,1.33,1.33,0.0,0.5,0.67,10.5,0.0,0.0,0.0,23.0,0.0,3.34,0.0,0.0,17.0,7.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,7.33,0.0,4.0,0.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,6.67,0.0,0.0,1.0,0.0,2.0,2.0,109.83,27.0,37.0,0.0,0.0,5.0,0.0,1154.5,5279.33,9.67,0.0,0.0,19.5,0.0,0.0,0.0,0.0,1109.33,37.0,424.0,0.0,0.0,0.0,22516.34,234.0,16431.17,0
sample_28,918971.09,1465.25,96025.33,20233.34,238.5,12.5,2470.0,1.0,0.0,0.0,87.5,0.0,8.0,370.33,0.0,0.0,0.0,188.5,18.0,0.0,26.0,13.83,5.0,5507.0,0.0,5.0,14.0,37463.33,7.0,2485.5,9.0,1048235.17,18775.0,1.0,58080.08,216.5,179.5,1255.5,0.0,0.0,14.0,0.0,16.0,130.0,1397.0,228.0,0.0,3.0,355511.16,0.0,315370.67,5.0,129408.16,15738.83,2.5,0.0,5.0,5.0,1.83,1.0,1060.08,0.0,0.0,6.0,8.0,0.0,0.0,0.0,1846.25,0.0,2.75,35.0,0.0,0.0,1.0,1060.08,4.0,0.0,0.0,0.0,48.0,4.0,0.0,0.0,0.0,17.0,0.83,1.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.5,6.5,0.0,0.5,1.0,4.0,0.0,0.0,1.0,0.0,30.0,1.5,545.83,446.33,189.0,46.0,12.0,46.0,6.0,0.0,0.0,3.0,1.0,2.0,0.0,7.5,7.0,0.0,0.33,0.33,0.0,1.5,0.33,16.0,0.0,0.0,0.0,12.0,0.0,2.34,0.0,0.0,18.5,5.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,3.33,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,5.5,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.75,109.17,38.0,35.0,0.0,0.0,6.0,0.0,815.33,5125.83,3.33,4.0,0.0,35.0,0.0,0.0,0.0,0.0,1395.75,32.75,331.0,0.0,0.0,0.0,19804.66,202.0,14972.17,0
sample_29,876441.95,1335.75,62264.92,101347.84,196.5,10.0,2372.5,0.0,0.0,0.0,201.0,2.0,9.0,392.33,1.0,0.0,0.33,233.0,19.0,0.0,12.0,17.08,2.0,5618.0,0.0,21.0,13.0,43825.33,1.0,3017.66,11.0,1005888.33,16894.33,2.5,62849.08,413.0,9.0,1863.75,0.0,0.0,4.0,0.0,14.0,180.0,1706.5,125.0,0.0,3.0,420312.66,0.0,304562.83,7.0,142587.34,15040.0,6.0,3.0,3.5,3.5,1.92,2.0,1402.25,5.0,0.0,0.0,7.0,13.0,0.0,0.0,1625.5,0.0,2.25,40.0,0.0,0.0,5.0,1402.25,5.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,11.0,0.92,1.0,11.0,0.0,0.0,4.0,0.0,8.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,4.0,6.0,3.0,0.0,2.0,0.0,26.0,0.0,415.33,368.33,260.0,50.0,11.0,50.0,21.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.25,1.0,0.33,8.5,0.0,0.0,0.0,3.5,0.0,4.08,0.0,0.0,24.0,8.0,2.0,0.0,1.0,14.0,0.0,0.0,0.0,5.0,7.33,0.0,3.58,0.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,7.67,0.0,0.0,3.0,0.0,2.0,5.08,107.33,38.0,35.0,0.0,0.0,3.0,0.0,1061.0,6217.0,3.33,1.0,0.0,34.0,0.0,0.0,0.0,0.0,1170.0,52.5,379.0,0.0,0.0,1.0,18811.5,199.0,18037.83,0
sample_30,1666436.36,558.25,170163.0,46066.0,495.5,8.0,5736.5,0.0,0.0,0.0,105.5,1.0,2.0,435.17,0.83,0.0,0.0,539.83,28.0,0.0,40.25,29.33,36.0,5565.0,0.0,16.0,20.0,43942.17,3.0,1283.84,19.0,2593198.08,9636.5,1.5,48875.92,244.0,10.66,2416.0,0.0,0.0,19.0,0.0,14.0,209.0,3694.0,38.0,0.0,3.0,939717.16,0.0,312831.5,12.25,96358.67,29867.08,11.0,1.0,5.5,5.5,0.0,4.0,3124.71,6.0,0.0,5.0,10.0,10.0,0.0,0.0,1618.0,0.0,14.08,16.0,0.0,0.0,6.0,3124.71,5.0,0.0,0.0,0.0,318.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,0.0,0.0,1.5,0.0,18.5,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,1.5,8.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,19.0,1.5,3665.42,520.83,602.0,107.0,16.0,106.5,27.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.33,0.33,0.25,1.5,0.33,3.0,0.0,0.0,0.0,8.0,0.0,5.34,0.0,1.0,4.0,3.0,2.0,0.0,10.0,7.0,0.0,0.0,0.0,5.0,15.08,0.0,3.33,0.0,9.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,7.0,56.67,30.0,60.5,0.0,0.0,5.0,0.0,1317.0,8969.33,10.33,4.0,0.0,26.0,0.0,0.0,0.0,0.0,843.83,60.25,540.0,0.0,0.0,0.0,45076.66,383.0,13559.33,0
sample_31,1427316.47,1174.5,134636.83,22941.34,245.5,9.0,2226.5,0.0,0.0,0.0,47.0,0.0,3.0,348.83,0.0,0.0,0.0,302.0,26.0,0.0,41.0,23.83,16.0,5683.25,0.0,20.0,18.0,47344.75,8.0,1749.5,11.0,1750960.0,14831.0,1.0,56916.75,237.0,56.0,1126.67,0.0,0.0,13.0,1.0,21.0,140.0,3832.0,115.0,0.0,2.0,570902.48,0.0,452170.33,7.0,112473.34,20810.92,6.0,0.0,4.0,4.0,0.0,4.0,1293.87,7.0,0.0,8.0,30.0,5.0,0.0,0.0,1488.0,1.0,5.75,11.0,0.0,0.0,2.0,1293.87,4.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,18.0,1.25,2.0,6.5,0.0,0.0,3.0,0.0,8.33,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,4.0,0.0,2.0,0.0,27.0,3.5,2281.83,513.0,182.0,67.5,14.0,67.5,16.0,1.0,1.0,1.0,2.0,2.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.5,0.58,11.0,0.0,0.0,0.0,10.5,1.0,2.08,0.0,0.0,17.0,7.0,2.0,0.0,0.5,11.0,0.0,0.0,0.0,9.0,12.0,0.0,5.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.33,1.5,53.67,41.0,36.0,0.0,0.0,1.0,0.0,805.0,6503.75,7.67,1.0,0.0,30.58,0.0,0.0,0.0,0.0,1330.42,14.75,368.0,0.0,0.0,0.0,28221.66,225.0,12944.33,0
sample_32,694334.55,467.75,64745.75,10605.16,214.5,13.0,1830.0,0.0,0.0,0.0,17.0,0.0,2.0,145.17,0.0,0.0,0.0,213.67,24.5,0.0,12.5,0.5,4.0,3497.5,0.0,10.0,6.0,38422.5,3.5,1008.84,7.0,1207587.42,8812.83,1.5,41984.83,60.0,9.0,602.5,0.0,0.0,3.0,0.0,18.0,84.0,2064.0,65.0,0.0,2.0,359765.48,0.0,270564.25,4.0,63475.66,12307.5,2.0,0.0,3.0,3.0,0.0,1.0,822.25,6.0,1.0,3.0,9.0,0.0,0.0,0.0,833.75,0.0,5.08,14.0,0.0,0.0,2.0,820.25,4.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,15.0,0.5,429.25,280.33,82.0,36.0,9.0,36.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.33,3.0,0.0,0.0,0.0,10.83,0.0,1.66,0.0,1.0,8.0,3.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,22.0,24.0,0.0,0.0,2.0,0.0,443.0,3265.17,3.67,0.0,0.0,19.5,0.0,0.0,0.0,0.0,546.17,9.0,214.0,0.0,0.0,0.0,15707.5,119.33,7827.33,0
sample_33,1153565.45,581.5,84306.08,16100.66,155.5,32.0,2793.0,0.0,0.0,0.0,94.0,0.0,7.0,273.83,0.0,0.0,0.0,187.5,34.0,2.0,18.0,4.67,8.0,7652.5,0.0,11.0,8.0,42421.0,3.0,990.16,7.0,2183267.42,6194.83,1.0,63788.92,220.0,13.0,722.5,0.0,0.0,4.0,2.0,14.0,57.5,1761.5,187.0,0.0,1.0,357101.16,0.0,276555.33,3.5,66189.66,9074.0,1.0,1.0,1.5,1.5,0.0,2.0,1366.0,1.0,0.0,12.0,8.0,4.0,0.0,0.0,926.5,0.0,4.0,11.0,0.0,0.0,2.0,1366.0,1.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,4.5,0.0,17.67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.5,6.0,0.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,46.0,1.83,397.5,435.92,156.0,16.0,6.0,16.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,10.0,2.0,0.0,0.67,0.67,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12.0,0.0,3.0,0.0,2.0,9.5,9.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,3.33,0.0,3.0,0.0,9.5,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,68.17,54.0,22.0,0.0,0.0,4.0,0.0,1229.0,3694.83,8.33,0.0,0.0,28.5,0.0,0.0,0.0,0.0,704.58,20.0,182.0,0.0,0.0,0.0,22580.0,86.0,19614.83,0
sample_34,1156942.33,312.5,87267.5,14603.0,108.0,11.0,4221.0,0.0,0.0,0.0,17.5,2.0,5.0,300.42,0.0,0.0,0.0,235.0,20.0,0.0,11.0,3.67,17.0,7627.0,0.0,13.0,10.0,49367.33,7.0,1039.5,7.0,2140708.5,6658.75,0.0,54646.0,170.0,12.0,569.0,0.0,0.0,10.0,0.0,20.0,101.0,1858.5,133.0,0.0,1.0,391132.32,0.0,329310.17,4.5,54513.0,6910.5,5.0,1.0,2.5,2.5,0.0,2.0,3123.0,0.0,0.0,5.0,8.0,5.0,0.0,0.0,2216.0,0.33,12.33,23.0,0.0,0.0,3.0,3123.0,4.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.5,5.0,0.0,8.0,5.0,0.0,0.0,11.0,0.0,5.33,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,36.0,1.5,1786.42,586.67,128.5,32.5,17.5,32.5,12.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,1.67,1.67,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,3.16,0.0,0.0,8.5,16.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,118.33,50.0,24.5,0.0,0.0,3.0,0.0,1752.0,4172.0,8.33,1.0,0.0,16.75,0.0,0.0,0.0,0.0,675.0,4.0,214.0,0.0,0.0,1.0,40640.84,140.0,14850.83,0
sample_35,1061832.11,1171.25,82160.42,22285.16,282.67,13.0,2342.0,0.0,0.0,0.0,66.08,2.0,4.0,289.67,0.25,0.0,0.75,259.0,29.0,0.0,20.0,4.08,11.0,6727.5,0.0,18.0,19.0,48936.17,4.5,2416.16,11.0,1548511.5,12640.08,1.0,64480.33,161.0,6.0,1050.83,0.0,0.0,14.0,0.0,17.0,156.0,2916.58,149.0,0.0,5.0,404816.66,0.0,360357.83,4.5,126423.84,9703.0,4.0,1.0,1.0,1.0,0.33,3.0,1085.08,2.0,0.0,9.0,2.0,8.5,0.0,0.0,1633.0,0.33,6.0,22.0,0.0,0.0,0.0,1085.08,7.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,5.0,0.33,2.0,2.5,0.0,0.0,1.0,0.0,7.83,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,28.0,1.5,1035.5,406.33,210.0,44.0,18.0,44.0,11.0,0.0,0.0,4.0,1.0,2.0,0.0,7.0,4.0,0.0,0.67,0.67,0.0,0.0,0.33,8.0,0.0,0.0,0.0,11.0,1.0,2.34,0.0,1.0,16.5,5.5,3.0,0.0,2.0,13.0,0.0,0.0,0.0,13.0,5.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.83,140.67,33.0,29.83,0.0,0.0,2.0,0.0,927.33,5050.33,8.33,1.0,0.0,42.5,0.0,0.0,0.0,0.0,1079.5,18.0,297.0,0.0,0.0,1.0,22246.84,187.0,17941.33,0
sample_36,1252890.32,1405.25,105970.83,12373.0,228.5,7.0,2603.0,0.0,0.0,0.0,96.5,0.0,7.0,387.17,0.5,0.0,0.0,238.5,37.0,0.0,23.5,7.0,6.0,6746.33,0.0,28.0,17.0,45366.58,8.5,2212.0,11.0,1582757.42,15167.25,1.0,58104.92,198.0,9.0,1120.5,0.0,0.0,26.0,0.0,13.0,102.0,1487.0,282.0,0.0,4.0,411492.66,0.0,361609.92,7.5,144325.84,12226.0,3.0,0.0,1.5,1.5,0.83,1.0,1272.88,9.0,0.0,10.0,4.0,3.0,0.0,0.0,1592.33,0.0,3.25,55.0,0.0,0.0,1.0,1272.88,3.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,4.0,0.25,3.0,6.0,0.0,0.0,0.5,0.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,26.0,1.0,402.92,492.58,169.0,51.0,19.0,50.5,14.0,0.0,0.0,0.0,0.0,3.0,0.0,7.5,2.0,2.0,0.67,0.67,0.25,2.5,0.33,11.0,0.0,0.0,0.0,10.33,0.33,3.5,0.0,1.0,19.5,13.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,4.0,0.0,6.0,0.0,2.5,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.75,136.17,54.0,52.0,0.0,0.0,3.0,0.0,1043.0,5479.33,5.33,1.0,0.0,33.5,0.0,0.0,0.0,0.0,1166.33,16.25,293.0,0.0,0.0,0.0,24333.84,174.0,19516.92,0
