,hsa-miR-585-5p,hsa-miR-148a-3p,hsa-miR-585-3p,hsa-miR-455-3p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-2114-3p,hsa-miR-5680,hsa-miR-195-3p,hsa-miR-6861-3p,hsa-miR-3663-5p,hsa-miR-106a-5p,hsa-miR-148b-5p,hsa-miR-142-3p,hsa-miR-1269a,hsa-miR-3925-3p,hsa-let-7f-5p,hsa-miR-2355-3p,hsa-let-7a-5p,hsa-miR-4431,hsa-miR-1249,hsa-miR-148b-3p,hsa-miR-140-5p,hsa-miR-195-5p,hsa-miR-7157-5p,hsa-miR-1294,hsa-miR-29a-3p,hsa-miR-4687-5p,hsa-miR-4699-5p,hsa-miR-676-3p,hsa-miR-34b-3p,hsa-miR-3942-5p,hsa-miR-877-3p,hsa-miR-30d-3p,hsa-miR-1227-3p,hsa-miR-4324,hsa-miR-129-2-3p,hsa-miR-130a-5p,hsa-miR-26b-5p,hsa-miR-455-5p,hsa-miR-6513-5p,hsa-miR-196b-5p,hsa-miR-10b-3p,hsa-miR-6795-3p,hsa-miR-30c-2-3p,hsa-miR-152-3p,hsa-miR-4661-5p,hsa-miR-4787-3p,hsa-miR-2682-3p,hsa-miR-6760-3p,hsa-miR-3617-5p,hsa-miR-509-5p,hsa-miR-10b-5p,hsa-miR-4709-3p,hsa-miR-345-3p,hsa-miR-518b,hsa-miR-30a-5p,hsa-miR-2115-5p,hsa-miR-4500,hsa-miR-27b-3p,hsa-miR-346,hsa-let-7i-5p,hsa-miR-6794-3p,hsa-miR-10a-3p,hsa-miR-6882-3p,hsa-miR-6734-5p,hsa-miR-24-1-5p,hsa-miR-6891-5p,hsa-miR-26a-2-3p,hsa-miR-4525,hsa-miR-6846-3p,hsa-miR-99a-3p,hsa-miR-448,hsa-miR-3941,hsa-miR-3074-3p,hsa-miR-4694-5p,hsa-miR-4679,hsa-miR-30a-3p,hsa-miR-4804-3p,hsa-miR-493-3p,hsa-miR-520c-3p,hsa-miR-520b,hsa-miR-1291,hsa-miR-487a-3p,hsa-miR-3680-3p,hsa-miR-515-3p,hsa-miR-106b-5p,hsa-miR-618,hsa-miR-516b-5p,hsa-miR-6849-3p,hsa-miR-6826-3p,hsa-miR-1827,hsa-miR-3943,hsa-miR-192-5p,hsa-miR-6808-3p,hsa-miR-2110,hsa-miR-146b-5p,hsa-miR-210-3p,hsa-miR-520h,hsa-miR-3186-5p,hsa-miR-6726-3p,hsa-miR-508-5p,hsa-miR-27b-5p,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-511-5p,hsa-miR-26a-1-3p,hsa-let-7g-5p,hsa-miR-6888-3p,hsa-miR-10a-5p,hsa-miR-454-3p,hsa-miR-425-3p,hsa-miR-9-3p,hsa-miR-6859-3p,hsa-miR-7114-3p,hsa-miR-504-5p,hsa-miR-4650-3p,hsa-miR-518c-3p,hsa-miR-6858-5p,hsa-miR-6880-5p,hsa-miR-23c,hsa-miR-3191-3p,hsa-miR-378i,hsa-miR-548aw,hsa-miR-6803-3p,hsa-miR-26b-3p,hsa-miR-1228-3p,hsa-miR-31-3p,hsa-miR-183-5p,hsa-miR-6515-3p,hsa-miR-3139,hsa-miR-3656,hsa-miR-146b-3p,hsa-miR-6510-3p,hsa-miR-5582-5p,hsa-miR-4721,hsa-miR-4646-3p,hsa-miR-6764-3p,hsa-miR-30b-5p,hsa-miR-3127-5p,hsa-miR-668-3p,hsa-miR-497-3p,hsa-miR-5587-5p,hsa-miR-34c-3p,hsa-miR-4532,hsa-miR-4685-3p,hsa-miR-4659a-5p,hsa-miR-4659b-3p,hsa-miR-100-3p,hsa-miR-616-3p,hsa-miR-155-5p,hsa-miR-3168,hsa-miR-485-3p,hsa-miR-7977,hsa-miR-940,hsa-miR-548ab,hsa-miR-1271-5p,hsa-miR-329-3p,hsa-miR-7156-5p,hsa-miR-1225-3p,hsa-miR-1301-3p,hsa-miR-3663-3p,hsa-miR-6761-5p,hsa-miR-5089-3p,hsa-miR-3151-5p,hsa-miR-1914-5p,hsa-miR-4517,hsa-miR-627-5p,hsa-miR-6504-3p,hsa-miR-27a-3p,hsa-miR-6797-3p,hsa-miR-2682-5p,hsa-miR-6858-3p,hsa-miR-323a-5p,hsa-miR-6871-3p,hsa-miR-4454,hsa-miR-942-5p,hsa-miR-16-5p,hsa-miR-6833-3p,hsa-miR-2116-5p,hsa-miR-6887-5p,hsa-miR-6810-3p,hsa-miR-510-5p,hsa-miR-6852-3p,hsa-miR-122-3p,hsa-miR-140-3p,hsa-miR-629-5p,hsa-miR-3591-5p,hsa-miR-376a-2-5p,hsa-miR-6849-5p,hsa-miR-146a-5p,hsa-miR-939-5p,hsa-miR-519d-3p,hsa-miR-197-3p,hsa-miR-3929,hsa-miR-98-5p,hsa-miR-124-5p,hsa-miR-298,hsa-miR-6800-5p,hsa-miR-581,Disese Group
sample_24,10.0,27730.0,42.0,232.5,1306.5,10.0,1.0,6.0,46.0,3.33,2.0,8.5,370.0,1138.5,3.0,0.0,998827.14,37.0,1478345.87,3.0,23.0,57468.67,6936.0,5559.5,5.0,14.0,382134.17,0.0,0.0,42.0,18.0,1.0,26.0,1223.58,1.67,5.67,5198.5,5.0,439820.42,483.5,0.0,1.0,4.0,0.0,2007.67,16710.17,1.0,20.0,9.0,8.5,176.33,2.0,33.0,6.0,18.0,21.0,157621.0,1.0,1.0,167417.67,203.0,158994.42,51.0,0.0,9.0,21.83,5.25,0.0,1219.17,12.0,2.0,1670.0,32.0,0.0,5.25,0.0,1.0,28690.67,8.0,311.17,1.0,1.0,157.0,260.5,0.0,1.0,249.0,57.0,3.0,2.0,2.0,0.0,126.0,59061.67,3.0,487.0,3271.58,20958.0,2.5,0.0,61.0,0.0,227.5,930.5,930.5,0.0,114.0,271029.75,5.0,11.0,18344.5,3577.25,242887.4,3.75,3.0,645.0,0.0,11.5,2.0,0.0,3.5,2.0,2.0,114.5,106.0,577.33,4.5,157.0,1670317.33,19.0,2.0,0.0,59.0,0.0,0.0,0.0,7.67,14.0,60559.17,135.0,153.5,18.0,0.0,4.0,0.25,3.0,0.5,0.5,76.0,24.5,743.0,0.0,4549.0,13.0,2.0,1.5,365.0,2274.34,3.0,0.0,3626.67,1.0,27.0,0.0,7.0,9.5,0.0,137.5,0.0,12385.67,0.0,17.0,3.83,41.0,1.5,0.0,90.0,571178.34,8.5,12.0,1.0,3.0,0.0,0.25,20.5,32140.92,1084.58,20.5,127.0,0.0,5365.58,0.0,0.0,1469.25,4.33,20519.17,12191.58,0.0,0.0,8.0,0
sample_25,10.0,33708.5,64.0,570.5,2756.0,19.0,4.0,10.0,114.0,6.25,5.0,27.0,769.5,1843.0,1.0,4.0,1283534.89,81.0,1858171.88,1.0,69.33,103705.0,12782.5,10562.58,4.0,51.5,829992.91,1.0,1.0,83.0,20.0,2.0,43.17,3016.25,6.0,13.0,11244.92,30.0,840420.08,1018.0,6.0,1.0,0.0,1.0,3720.75,29030.0,1.0,30.0,52.0,22.5,632.5,4.0,50.0,8.0,37.0,40.0,324761.83,1.0,37.17,342170.17,392.0,207873.83,115.83,1.0,29.0,28.33,13.5,0.5,2407.17,19.0,3.0,3634.5,57.0,3.0,12.5,0.0,1.0,57991.17,7.0,640.0,1.83,1.83,370.83,418.0,0.5,1.0,519.5,81.0,0.0,6.0,7.5,2.0,147.0,135796.08,1.0,980.0,5409.42,59596.0,0.0,0.0,157.0,5.0,257.5,1488.16,1481.16,3.0,164.0,397668.25,4.0,6.0,29297.5,7064.67,481172.42,9.0,7.0,1047.33,2.0,24.5,1.0,3.0,5.33,2.0,0.0,241.0,234.0,1315.33,13.0,456.75,2617169.42,34.0,1.0,0.0,107.5,0.0,0.0,0.0,12.42,17.0,163983.5,128.83,256.5,70.5,0.0,4.0,0.67,10.0,0.5,0.5,118.5,45.33,840.0,0.0,10041.5,28.0,0.0,9.5,576.0,4064.0,6.0,0.0,6622.92,4.0,45.0,3.0,14.0,26.0,0.0,381.5,0.0,30218.08,5.5,30.0,1.5,88.0,2.0,1.0,172.5,1230661.84,19.0,33.0,0.0,11.0,2.0,0.83,31.5,65747.92,2048.5,31.5,409.0,0.0,8405.0,2.33,3.0,2607.83,10.0,20313.08,29983.21,2.0,0.0,8.0,0
sample_26,12.0,26471.0,69.0,191.5,1301.0,7.0,1.0,15.0,69.0,2.0,2.0,8.5,376.0,1186.0,10.0,1.0,749525.32,45.5,979381.07,1.0,42.0,56758.67,8028.5,6348.5,5.0,17.5,469603.17,0.0,1.0,58.0,10.0,0.0,14.75,1738.75,4.83,7.83,4346.17,16.0,458540.5,520.0,3.0,0.0,0.0,1.0,1853.92,18425.17,0.0,19.0,16.0,6.0,249.5,3.0,17.0,4.0,9.0,14.0,185713.0,3.0,20.08,236834.33,142.0,116040.83,39.5,5.0,6.0,9.25,6.5,1.0,1465.17,6.0,1.0,2070.0,35.0,0.0,6.5,0.0,0.0,33074.83,5.0,394.33,1.0,1.0,126.0,356.0,0.0,1.0,264.0,87.0,1.0,3.0,0.0,1.0,85.0,79849.58,2.0,416.0,2348.5,36601.83,1.0,0.0,83.0,3.0,177.0,608.92,605.42,1.0,100.5,222624.5,4.0,67.0,14858.33,2917.17,297022.23,3.75,0.0,623.0,0.0,16.5,1.0,1.5,2.0,1.0,1.0,134.75,94.83,553.5,4.0,468.0,1094028.17,20.0,0.0,0.25,44.5,0.0,0.0,0.0,3.33,10.0,92619.08,48.0,162.0,31.5,0.0,1.0,0.25,3.0,0.5,0.5,74.5,23.17,696.0,0.0,5573.5,7.0,1.0,5.5,174.0,2633.16,1.0,1.0,2268.33,3.0,13.0,1.0,7.0,6.0,0.0,170.5,0.0,21687.33,1.5,10.0,0.0,51.0,0.0,1.0,55.0,545415.0,4.5,11.0,0.0,1.0,0.0,2.25,5.5,32833.75,952.0,5.5,328.5,0.0,4470.75,0.5,4.0,922.0,5.0,12889.42,13452.55,1.0,0.0,5.0,0
sample_27,10.5,15816.5,36.5,240.0,1250.83,6.0,2.0,7.0,82.0,2.0,5.0,10.5,302.0,608.5,7.0,0.0,562687.66,23.0,885663.77,1.0,31.0,41747.83,5476.5,6747.25,5.0,18.0,280760.83,1.0,0.0,53.0,5.0,1.0,37.0,1351.0,1.0,5.33,3753.17,13.0,399833.42,447.0,0.0,0.0,0.0,4.0,2429.42,15540.0,1.0,25.25,16.0,8.0,75.0,3.0,25.0,4.0,36.0,11.0,127080.5,0.0,20.33,156160.0,221.0,93235.5,57.0,1.0,3.0,23.5,3.5,1.0,1067.5,7.0,1.0,1649.0,46.0,1.0,3.5,0.0,0.0,31816.0,4.0,574.67,1.33,1.33,320.0,159.5,0.66,0.0,218.0,67.5,0.0,2.0,20.0,0.0,76.0,66052.75,2.0,760.0,2869.33,29553.5,0.5,0.0,83.83,2.0,101.0,1057.16,1055.16,0.0,115.5,166813.92,3.0,9.0,11806.0,3007.0,217597.63,3.75,2.5,1122.0,0.0,4.0,0.0,0.0,3.0,0.5,0.0,97.5,109.5,684.0,10.5,232.5,1158088.75,3.0,0.0,0.0,82.0,0.0,0.0,0.0,10.67,3.0,64336.17,96.0,67.0,48.0,0.0,0.0,0.83,6.0,0.0,0.0,70.0,23.0,313.0,0.67,4308.0,18.0,0.0,1.5,199.5,1587.0,5.0,0.0,3999.42,5.0,18.0,1.0,7.5,7.0,0.0,153.5,0.0,10211.17,1.0,12.0,2.0,41.0,2.0,3.0,81.0,569825.5,4.5,12.0,1.0,2.0,2.0,0.58,16.0,34888.0,1087.0,17.0,172.0,0.0,4572.25,3.5,0.0,1644.33,13.0,8064.0,12237.3,0.0,0.0,4.0,0
sample_28,3.0,23101.5,25.0,512.25,1287.0,10.0,6.0,5.0,107.83,3.75,8.0,8.0,283.0,699.0,9.0,0.0,581462.32,29.0,918971.09,4.0,18.0,37463.33,5507.0,8489.5,6.0,26.0,315370.67,0.0,0.0,59.0,9.0,2.0,32.75,1401.33,0.33,8.33,3390.58,24.0,401167.5,701.0,4.0,1.0,2.0,1.0,2346.75,16735.67,0.0,25.0,18.0,14.08,49.5,2.0,47.0,3.0,9.0,14.0,127357.67,1.0,14.92,175643.25,165.0,96108.5,47.0,2.0,6.0,16.17,5.0,0.0,1104.33,8.0,1.0,2369.5,35.0,2.0,5.0,0.0,2.0,35861.67,5.0,446.33,0.33,0.33,287.5,214.0,0.0,1.0,238.5,66.33,1.0,4.0,4.0,0.0,36.0,58080.08,4.0,485.0,3574.75,27682.25,1.5,0.0,63.0,3.0,153.5,544.91,544.91,3.0,130.5,151626.25,4.0,12.5,10016.83,2891.5,272889.97,6.0,1.5,1045.67,0.0,7.5,1.0,1.0,3.0,0.0,0.0,123.25,122.0,661.0,12.0,275.5,1048235.17,8.0,0.0,0.0,83.5,0.0,0.0,0.0,10.0,8.0,66453.92,62.5,55.0,68.0,0.0,2.0,0.33,2.0,0.25,0.25,105.0,26.0,314.0,1.83,4611.5,11.0,0.0,4.0,188.5,1830.0,3.0,1.0,2465.83,4.0,24.0,0.0,8.0,8.0,0.0,162.0,0.0,13711.08,2.0,7.5,2.0,23.0,2.0,0.0,64.0,520374.66,4.5,16.0,0.0,5.5,2.0,0.0,32.5,34687.33,1094.0,32.5,139.0,1.0,5206.5,5.0,1.0,1255.5,11.0,8300.67,11165.84,0.0,0.0,4.0,0
sample_29,8.0,15490.0,40.0,242.0,1186.0,5.0,0.0,8.0,94.0,5.08,7.0,12.5,318.0,674.0,5.0,2.0,604902.98,26.0,876441.95,0.0,82.0,43825.33,5618.0,4832.08,3.0,12.0,304562.83,0.0,1.0,61.0,5.0,0.0,52.5,1007.17,5.67,8.17,5656.42,3.0,372455.5,362.5,2.0,1.0,2.0,3.0,2168.75,17566.33,0.0,25.0,8.0,12.0,76.5,1.0,17.0,2.0,25.0,12.0,127115.0,4.0,13.08,200044.92,255.0,113379.83,86.0,1.0,12.0,22.5,7.33,1.0,864.33,10.0,3.0,1648.5,25.0,2.0,7.0,1.0,1.0,29644.0,3.0,368.33,0.0,0.0,210.0,193.0,0.0,0.0,196.5,62.0,0.0,4.0,51.5,1.0,84.0,62849.08,2.0,574.0,2093.0,29992.0,1.0,0.0,119.0,0.0,130.5,1167.84,1166.84,3.0,67.5,184422.67,3.0,10.0,13823.0,3151.5,182518.5,2.25,5.5,509.5,0.0,4.0,1.0,0.5,6.0,1.0,0.0,93.0,130.0,613.5,1.0,194.0,1005888.33,21.33,3.0,0.0,58.0,0.0,0.0,0.0,8.33,9.0,62266.42,104.0,113.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,68.0,25.75,366.0,1.92,6042.5,17.0,1.0,2.5,233.0,2352.0,3.0,0.5,4142.58,2.0,21.0,0.0,1.0,9.0,0.0,153.5,0.0,14981.83,1.0,6.0,0.0,66.0,0.0,0.0,66.0,521266.16,7.0,14.0,0.0,2.0,0.0,0.0,14.0,31763.67,1302.5,14.0,252.0,2.0,3870.5,1.0,2.0,1863.75,6.5,9505.17,9207.87,0.0,0.0,1.0,0
sample_30,4.0,21331.5,57.0,265.5,1790.5,5.0,2.0,3.0,51.0,7.0,10.0,9.5,264.0,1350.0,2.0,0.0,895791.65,42.5,1666436.36,1.0,59.0,43942.17,5565.0,6312.75,5.0,40.25,312831.5,0.0,0.0,31.0,9.0,3.0,60.25,841.17,3.33,5.0,6876.92,20.0,379964.92,588.0,1.0,3.0,2.0,1.0,2470.25,9960.83,1.0,17.0,20.0,16.0,213.5,6.0,56.0,3.0,18.0,11.0,176936.33,0.0,21.58,107134.33,340.83,131943.08,58.5,2.0,12.5,21.25,12.25,0.0,521.83,5.0,4.0,1304.5,42.0,2.0,12.25,0.0,1.0,35072.58,12.5,520.83,0.33,0.33,183.0,291.5,0.0,0.0,495.5,37.0,2.0,3.0,3.0,2.0,161.0,48875.92,2.0,724.0,4617.0,17388.08,1.5,0.0,92.0,4.0,343.5,1639.08,1639.08,3.0,35.0,201241.25,8.0,8.0,15777.5,3091.0,225684.14,17.25,5.5,796.5,0.0,3.0,3.0,0.0,5.0,0.0,0.0,68.25,163.33,458.5,1.0,260.0,2593198.08,32.0,1.0,0.0,71.58,0.0,0.0,0.0,18.5,11.0,50908.75,201.0,227.0,19.0,1.0,9.0,0.92,8.0,0.0,0.0,33.0,21.0,1100.0,0.0,5787.0,18.0,5.0,2.5,539.83,2390.84,6.0,2.5,3801.75,6.0,19.0,0.0,5.0,9.0,0.0,104.5,0.0,7138.42,0.0,13.0,1.5,56.0,3.0,2.0,116.0,526527.0,9.0,14.0,2.0,5.0,0.0,0.25,13.5,25445.0,1410.0,13.5,128.5,0.0,4482.0,6.42,4.0,2416.0,1.0,22923.67,10794.1,0.0,0.0,11.0,0
sample_31,11.5,19100.5,72.5,286.0,1086.83,9.0,5.0,7.0,104.0,1.5,30.0,7.33,265.0,942.0,10.0,1.0,762946.73,38.5,1427316.47,0.0,24.5,47344.75,5683.25,9103.5,1.0,41.0,452170.33,1.0,1.0,34.0,17.0,1.0,14.75,1523.17,3.33,6.42,3483.67,23.0,425636.5,796.0,3.0,6.0,3.0,1.0,2359.17,14908.33,0.0,31.0,28.5,7.0,113.5,2.0,52.0,2.0,12.0,7.0,189502.67,2.0,12.67,140575.92,171.0,102151.83,45.0,0.0,2.0,7.25,7.0,0.0,778.83,5.0,3.0,2264.0,44.0,2.0,7.0,0.0,1.0,29494.17,10.0,513.0,0.0,0.0,147.0,151.0,2.0,2.0,245.5,59.5,2.0,2.0,3.0,0.0,78.0,56916.75,1.0,539.0,5959.0,30440.83,0.5,0.0,66.0,3.0,162.5,626.84,625.84,1.0,78.0,178711.83,3.0,9.0,12444.83,3656.5,261813.82,6.0,1.0,1082.83,1.0,12.0,2.0,0.5,1.0,0.0,0.0,122.0,86.0,556.0,9.5,283.5,1750960.0,12.0,0.0,0.0,105.33,0.0,0.0,0.0,8.33,9.5,65248.67,79.0,74.0,66.5,0.0,1.0,0.58,6.0,0.25,0.25,50.5,19.75,677.0,0.0,3791.5,7.0,3.0,1.5,302.0,1192.34,3.0,0.0,2494.0,10.0,35.0,0.0,10.0,11.0,0.0,159.5,0.0,12568.25,0.0,15.0,1.0,14.0,1.0,3.0,73.0,596210.16,3.5,21.0,0.0,1.0,1.0,0.0,26.5,41411.42,1374.0,26.5,122.0,1.0,5693.5,1.83,2.0,1126.67,3.0,11757.42,14417.94,0.0,1.0,9.0,0
sample_32,4.0,13555.83,21.0,139.0,788.0,5.0,2.0,3.0,50.0,3.0,9.0,4.0,202.0,574.5,3.0,2.0,385743.07,14.5,694334.55,0.0,11.0,38422.5,3497.5,5038.0,2.0,12.5,270564.25,0.5,0.0,25.0,6.0,0.0,9.0,952.25,1.0,1.33,1806.67,6.0,254065.17,438.5,2.0,2.0,0.0,0.0,1161.5,8392.33,0.0,19.33,6.0,4.5,57.5,0.0,16.0,1.0,22.0,1.0,104389.67,1.0,0.58,79875.5,67.0,60261.08,18.0,0.0,1.0,3.75,4.0,0.0,657.83,2.5,0.0,1122.5,43.0,0.0,4.0,0.0,0.0,15764.5,0.0,280.33,0.0,0.0,138.0,56.0,0.66,0.0,214.5,41.83,1.0,0.0,8.0,0.0,58.0,41984.83,0.0,250.0,3590.42,20247.75,1.0,0.0,39.0,0.0,95.0,358.0,358.0,0.0,31.0,102986.5,3.0,13.0,8060.5,1872.83,180770.49,0.75,0.0,593.0,0.0,3.0,0.5,0.0,0.0,1.0,0.0,48.75,60.0,302.0,5.0,183.0,1207587.42,4.0,0.0,0.0,50.5,0.0,0.0,0.0,3.0,11.83,41208.33,67.0,32.0,20.0,1.0,5.0,0.0,4.0,1.0,1.0,39.0,11.0,292.0,0.0,1690.83,5.0,3.0,3.0,213.67,681.34,1.0,0.0,1265.75,3.0,14.0,0.0,6.0,6.0,1.0,97.5,0.0,5271.92,3.0,6.0,0.0,6.0,0.0,0.0,60.0,362594.84,5.0,18.0,0.0,0.0,0.0,0.0,15.0,19039.5,668.0,15.0,78.0,0.0,2420.0,0.0,0.0,602.5,2.33,6213.75,10123.6,0.0,0.0,0.0,0
sample_33,2.0,32249.0,27.0,199.5,1498.5,6.0,0.0,9.0,77.0,2.5,8.0,13.5,507.0,561.0,2.0,2.0,637876.57,14.0,1153565.45,0.0,15.0,42421.0,7652.5,5260.83,4.0,18.0,276555.33,6.0,0.0,41.0,9.0,2.0,20.0,1677.17,2.5,5.67,1319.0,12.0,415817.25,370.0,0.0,1.0,2.0,1.0,1973.67,12919.67,0.0,30.0,8.0,5.0,105.0,2.0,19.0,0.0,25.0,9.0,100344.33,1.0,0.0,142388.08,127.5,117658.83,39.0,1.0,5.0,36.0,3.5,1.0,780.58,8.0,0.0,1082.33,33.0,0.0,3.5,1.0,0.0,27273.17,1.0,435.92,0.67,0.67,247.25,97.0,0.66,0.0,155.5,20.5,0.0,1.0,1.0,0.0,88.0,63788.92,4.0,483.0,2522.33,21439.75,0.5,1.0,94.0,0.0,100.0,593.84,593.84,2.0,65.0,106493.33,0.0,32.0,12130.5,2306.17,145565.09,5.25,3.0,1845.33,0.0,10.0,2.0,1.0,0.0,1.0,1.0,44.0,66.5,429.0,10.5,104.5,2183267.42,16.0,1.0,0.0,140.0,0.0,0.0,0.0,17.67,3.5,30380.0,116.0,77.0,14.0,2.0,4.0,0.0,2.0,0.0,0.0,126.0,22.75,597.0,0.0,4096.0,4.0,1.0,0.5,187.5,921.0,2.0,0.0,2597.92,5.0,20.0,0.0,10.0,24.0,0.0,93.5,1.0,5034.67,2.0,4.0,0.0,22.0,0.0,2.0,81.0,797841.0,5.0,14.0,0.0,2.0,2.0,0.25,19.5,30607.5,1013.0,19.5,97.0,0.0,4142.5,1.0,1.0,722.5,5.0,5543.33,10323.6,0.0,0.0,8.0,0
sample_34,0.0,31372.83,31.0,207.5,1056.5,6.0,1.0,16.0,98.0,2.0,8.0,7.0,517.5,568.0,11.0,0.0,699531.82,33.5,1156942.33,0.0,2.0,49367.33,7627.0,4815.33,3.0,11.0,329310.17,0.0,1.0,74.0,10.0,1.0,4.0,1597.33,1.5,4.33,1454.42,16.0,377458.33,561.0,1.0,1.0,1.0,0.0,1880.42,10846.17,0.0,7.0,24.5,2.0,258.0,1.0,27.0,8.0,14.0,10.0,106332.5,0.0,0.67,145833.67,108.0,110686.33,22.0,1.0,3.0,17.17,4.5,3.0,677.5,10.0,0.0,1221.33,32.0,1.0,4.5,0.0,2.0,19787.75,4.0,586.67,1.67,1.67,271.0,112.0,0.66,1.0,108.0,76.0,0.0,0.0,1.0,1.0,119.0,54646.0,2.0,671.0,2227.92,22708.5,0.0,1.0,10.0,1.0,112.0,595.08,594.08,0.0,60.5,96334.5,6.0,11.0,13688.0,2853.33,133408.74,7.5,0.5,2715.5,0.0,6.0,0.33,0.0,2.0,1.5,1.0,56.75,25.5,383.5,4.0,139.0,2140708.5,10.0,1.0,0.25,129.83,0.0,0.0,0.0,5.33,5.5,28624.25,175.5,85.0,29.5,0.0,4.0,0.25,4.0,0.25,0.25,88.5,26.83,778.0,0.0,1697.0,3.0,0.0,0.5,235.0,941.34,2.0,1.0,2885.25,14.0,21.0,0.0,14.0,11.0,0.0,77.5,0.0,4640.17,0.0,18.0,0.0,22.0,0.0,4.0,61.5,748700.0,7.0,20.0,2.0,0.0,1.0,0.25,23.0,39096.17,1154.0,23.0,124.0,0.0,4260.5,1.0,2.0,569.0,7.0,7396.25,11273.58,0.0,0.0,7.0,0
sample_35,4.0,22056.5,20.0,368.0,1623.5,13.0,2.0,5.5,114.0,2.83,2.0,9.0,392.0,852.5,1.0,0.0,657974.07,31.75,1061832.11,0.0,19.0,48936.17,6727.5,7785.67,2.0,20.0,360357.83,2.0,0.0,47.0,6.0,0.0,18.0,1562.42,1.0,2.67,3418.0,20.0,435216.92,563.0,2.0,1.0,1.0,3.0,1895.42,14075.33,0.0,23.0,27.0,8.5,327.83,0.0,18.0,6.0,21.0,13.0,131302.5,1.0,1.0,155035.33,182.0,95678.25,37.0,0.0,4.5,11.83,4.5,1.0,1119.5,18.0,0.0,1496.5,28.0,0.0,4.5,0.0,0.0,26001.0,3.0,406.33,0.67,0.67,230.5,148.0,0.66,1.0,282.67,20.83,0.0,2.0,2.0,1.0,72.0,64480.33,2.0,537.0,3181.5,19640.75,0.0,0.0,75.0,2.0,126.0,730.34,726.84,4.0,89.5,172045.75,2.0,13.0,13701.0,2723.0,224457.75,2.25,1.0,1036.5,0.0,7.0,0.0,1.0,1.0,1.0,0.0,122.0,103.0,611.5,10.0,177.0,1548511.5,16.0,1.0,0.0,102.0,0.0,0.0,0.0,7.83,7.0,69089.5,68.0,68.0,42.0,1.0,2.0,0.25,3.0,0.0,0.0,82.0,26.5,349.0,0.33,3908.0,5.0,1.0,2.0,259.0,1265.0,3.0,0.0,3070.25,6.0,29.0,2.0,3.0,15.0,0.0,158.83,0.0,10871.5,0.0,14.0,4.5,18.0,2.0,1.0,76.0,669110.5,6.0,17.0,0.0,6.0,0.0,0.58,21.0,31244.25,943.0,21.0,166.0,0.0,4023.5,0.25,1.0,1050.83,4.0,8700.83,13082.05,0.0,0.0,5.0,0
sample_36,7.0,25245.5,27.0,414.0,1440.0,9.0,4.0,13.0,85.5,1.75,4.0,13.5,342.0,1185.25,37.0,0.0,726414.49,43.0,1252890.32,0.0,12.0,45366.58,6746.33,6726.75,3.0,23.5,361609.92,0.0,0.0,47.0,25.0,0.0,16.25,1668.08,4.5,5.33,2781.67,16.0,497521.25,542.5,8.0,4.0,1.0,0.0,2415.25,17919.92,0.0,21.0,6.0,6.83,391.67,5.0,6.0,7.0,12.0,14.0,124010.17,3.0,0.0,144647.92,129.0,112967.0,45.5,0.0,7.0,20.67,7.5,0.0,1318.33,9.0,0.0,1870.5,37.0,0.0,7.5,0.0,2.0,34941.67,5.0,492.58,0.67,0.67,399.5,216.0,0.66,0.0,228.5,30.5,1.0,2.0,15.0,1.0,75.0,58104.92,3.0,526.0,4138.08,25915.5,2.5,0.0,76.0,8.0,209.0,1331.34,1330.34,0.0,149.0,178253.75,2.0,7.0,13439.5,2482.33,242632.55,7.5,0.0,943.33,0.0,7.5,0.0,1.0,4.0,0.5,0.0,102.75,107.5,815.83,9.0,220.0,1582757.42,11.0,0.0,0.0,131.83,0.0,0.0,0.0,5.33,7.5,68667.17,81.0,63.0,57.5,1.0,10.0,0.33,6.0,0.0,0.0,148.0,17.5,470.0,0.83,4997.0,5.0,3.0,1.0,238.5,1601.0,1.0,1.0,2994.17,1.0,18.0,0.0,5.0,11.0,0.0,150.17,0.0,10847.25,2.0,5.0,1.0,23.0,3.0,1.0,114.0,782695.16,9.5,13.0,0.0,4.0,0.0,0.25,22.5,31079.5,926.75,22.5,135.0,1.0,5425.25,2.5,0.0,1120.5,5.0,9293.33,14450.27,0.0,0.0,8.0,0
