,hsa-let-7a-3p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-1,hsa-miR-100-5p,hsa-miR-101-3p,hsa-miR-103a-3p,hsa-miR-103b,hsa-miR-105-5p,hsa-miR-106b-5p,hsa-miR-107,hsa-miR-10a-5p,hsa-miR-1180-3p,hsa-miR-1185-1-3p,hsa-miR-1185-5p,hsa-miR-124-3p,hsa-miR-124-5p,hsa-miR-1247-3p,hsa-miR-1247-5p,hsa-miR-1249,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-126-3p,hsa-miR-126-5p,hsa-miR-127-3p,hsa-miR-1271-5p,hsa-miR-128-3p,hsa-miR-129-1-3p,hsa-miR-129-2-3p,hsa-miR-129-5p,hsa-miR-1301-3p,hsa-miR-1306-5p,hsa-miR-130a-3p,hsa-miR-132-3p,hsa-miR-133a-3p,hsa-miR-135b-5p,hsa-miR-136-3p,hsa-miR-137,hsa-miR-138-5p,hsa-miR-140-3p,hsa-miR-140-5p,hsa-miR-142-3p,hsa-miR-142-5p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-148a-3p,hsa-miR-148b-3p,hsa-miR-148b-5p,hsa-miR-149-5p,hsa-miR-150-5p,hsa-miR-152-3p,hsa-miR-153-3p,hsa-miR-155-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-17-5p,hsa-miR-181b-5p,hsa-miR-181d-5p,hsa-miR-182-5p,hsa-miR-183-5p,hsa-miR-186-5p,hsa-miR-187-3p,hsa-miR-190b,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-194-5p,hsa-miR-195-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-199a-3p,hsa-miR-199a-5p,hsa-miR-199b-3p,hsa-miR-19b-3p,hsa-miR-200a-3p,hsa-miR-203a,hsa-miR-203b-5p,hsa-miR-204-5p,hsa-miR-20a-5p,hsa-miR-21-5p,hsa-miR-210-3p,hsa-miR-211-5p,hsa-miR-2110,hsa-miR-216a-3p,hsa-miR-216a-5p,hsa-miR-217,hsa-miR-218-5p,hsa-miR-22-3p,hsa-miR-223-3p,hsa-miR-224-5p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-24-3p,hsa-miR-25-3p,hsa-miR-26a-2-3p,hsa-miR-26a-5p,hsa-miR-26b-3p,hsa-miR-26b-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-299-5p,hsa-miR-29a-3p,hsa-miR-29b-3p,hsa-miR-29c-3p,hsa-miR-301a-3p,hsa-miR-30a-3p,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-30c-2-3p,hsa-miR-30c-5p,hsa-miR-30d-3p,hsa-miR-30d-5p,hsa-miR-30e-3p,hsa-miR-30e-5p,hsa-miR-31-3p,hsa-miR-31-5p,hsa-miR-3184-5p,hsa-miR-323a-3p,hsa-miR-323b-3p,hsa-miR-324-5p,hsa-miR-328-3p,hsa-miR-329-3p,hsa-miR-331-3p,hsa-miR-335-3p,hsa-miR-335-5p,hsa-miR-337-5p,hsa-miR-339-3p,hsa-miR-340-5p,hsa-miR-342-3p,hsa-miR-34a-5p,hsa-miR-3529-3p,hsa-miR-361-3p,hsa-miR-361-5p,hsa-miR-3617-5p,hsa-miR-369-5p,hsa-miR-370-3p,hsa-miR-378a-3p,hsa-miR-379-5p,hsa-miR-381-3p,hsa-miR-382-5p,hsa-miR-409-3p,hsa-miR-409-5p,hsa-miR-423-3p,hsa-miR-424-5p,hsa-miR-425-3p,hsa-miR-432-5p,hsa-miR-451a,hsa-miR-452-3p,hsa-miR-452-5p,hsa-miR-454-3p,hsa-miR-455-3p,hsa-miR-455-5p,hsa-miR-484,hsa-miR-485-3p,hsa-miR-485-5p,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-487a-3p,hsa-miR-487b-3p,hsa-miR-488-3p,hsa-miR-491-5p,hsa-miR-493-3p,hsa-miR-497-5p,hsa-miR-504-5p,hsa-miR-532-3p,hsa-miR-542-3p,hsa-miR-543,hsa-miR-551b-3p,hsa-miR-585-3p,hsa-miR-590-3p,hsa-miR-598-3p,hsa-miR-628-3p,hsa-miR-628-5p,hsa-miR-629-5p,hsa-miR-660-5p,hsa-miR-7-5p,hsa-miR-744-5p,hsa-miR-767-5p,hsa-miR-769-5p,hsa-miR-888-5p,hsa-miR-891a-5p,hsa-miR-891b,hsa-miR-892a,hsa-miR-892b,hsa-miR-9-3p,hsa-miR-9-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-95-3p,hsa-miR-96-5p,hsa-miR-98-5p,hsa-miR-99a-3p,Disese Group
sample_22,983.84,1234320.06,323237.0,135104.58,172087.83,863378.73,186397.58,139711.25,53253.16,25977.5,138631.66,98300.5,98300.5,2207.34,482.5,16053.81,24.0,5711.0,129.5,1141.0,722085.0,7939.62,4.0,70.0,64.0,692152.14,1054547.48,90418.83,11350.0,58805.0,500.17,57860.0,613.0,6776.67,58866.62,3199.75,252.0,3931.08,6442.0,12619.66,8305.17,1923.83,2174.0,36890.34,25347.75,5542.0,2101.5,477.0,78355.75,3975.75,5802.08,4760.58,21161.0,39904.67,316.0,38715.33,1213.5,10945.0,1777.66,1361.0,12217.0,5761.42,442443.5,1443.5,43932.5,2141.0,2410948.42,1980443.83,8450.25,1044.0,197678.75,153640.58,49608.08,13095.84,6939.0,23.5,2168.5,3129.96,643.0,1564.48,6600.34,989.0,607.5,607.5,339864.17,9028.5,111232.25,15522.75,67760.33,683.0,520.25,3813.58,4553.0,11729.34,12928.5,1903.25,50.0,24368.75,48620.66,45809.49,25697.0,544.83,984850.64,370.0,337911.33,9000.17,105885.25,3650.0,307651.0,167379.62,334284.73,1846.0,27272.75,175342.17,44509.0,1969.58,79757.16,716.58,377679.17,20053.42,58509.0,229.25,31924.08,3325.96,9926.5,3105.5,3024.83,4628.0,2291.66,3540.33,788.0,42872.17,589.83,3155.83,13769.67,199311.75,47703.17,8181.22,6552.83,22524.92,128.0,3828.0,1706.0,4671.91,30587.75,3361.5,13876.5,8453.0,3082.0,3325.96,305.25,2652.83,12500.08,579.0,3.0,20.0,15027.0,221.0,939.0,2809.0,3276.0,3048.5,1863.5,1863.5,234.0,6764.0,4309.0,2054.0,402.92,701.33,740.0,546.83,417.0,541.0,1565.17,58.5,1235.0,7013.0,1385.25,5324.5,1418.5,5194.5,40713.56,4934.0,860.33,6211.83,51.0,81.0,9.0,20.0,7.0,240633.26,2013893.65,41207.16,3953.5,19104.5,11690.17,644472.75,18458.83,883.0,0
sample_23,1672.34,1036532.48,225067.33,78018.17,157618.17,573858.41,156106.33,93711.17,53479.5,7773.0,154004.5,62659.1,62659.1,1122.66,248.83,12317.0,62.0,2231.0,366.0,941.0,159599.83,8982.6,4.0,36.0,46.0,641108.81,923275.98,91338.5,17380.5,45523.67,238.0,69510.66,350.25,3377.33,48170.96,2807.83,351.0,5708.58,2713.0,12142.5,3025.67,1411.0,1092.0,14656.0,22775.83,5434.83,927.0,417.33,34051.92,3179.33,3058.0,2415.0,16615.0,38153.33,206.0,26933.83,1240.5,11383.0,1529.5,537.0,13000.25,7035.42,452765.16,1134.0,15567.66,720.5,2268163.5,1334584.58,8631.08,1110.5,145442.33,196715.66,43934.67,11167.84,4382.5,6.0,1224.0,1443.64,646.0,721.32,8051.16,593.83,457.5,457.5,206990.5,6039.83,56925.0,21766.75,55366.17,450.5,462.83,2006.5,1423.5,12979.66,5984.75,3002.75,57.0,12516.0,29009.83,30148.75,22225.0,831.25,483931.48,442.0,335980.33,9071.67,107869.17,3124.5,253616.08,186202.96,335612.39,2977.5,19070.33,103522.0,43081.0,1401.5,86062.34,929.83,235431.67,16516.17,43031.92,173.83,15605.83,1372.75,8764.0,3978.5,3128.5,5303.92,1637.34,4106.83,550.5,62910.58,739.83,2264.0,9138.67,160685.33,56283.5,7139.33,7174.0,14602.58,139.0,2710.0,2426.75,1561.5,23012.75,1561.5,14294.33,11214.0,2144.5,1372.75,139.0,2171.0,13409.75,314.5,2.0,5.0,12078.33,163.5,419.0,727.67,4567.0,1125.17,634.76,632.76,188.5,5938.33,1457.5,879.0,276.67,971.83,502.5,638.5,107.0,248.0,1848.33,19.0,1293.25,4818.5,1570.5,3696.5,977.5,3043.0,35420.41,3290.92,848.5,4522.33,21.0,27.0,4.0,5.0,2.0,182652.73,1408310.46,20490.16,1170.0,21801.33,12603.25,395027.25,10460.83,1164.0,0
sample_24,2704.34,1478345.87,302502.49,123298.08,244461.5,998827.14,271029.75,158994.42,77786.5,10302.5,193830.0,84663.1,84663.1,1822.66,249.0,18466.57,11.0,3118.0,354.5,1123.0,166959.2,12191.58,2.0,36.0,23.0,939501.38,1312168.8,146994.5,29981.42,62759.83,365.0,101580.84,459.17,5198.5,80521.28,3626.67,395.0,8652.5,7212.0,13145.66,4313.67,2043.0,2049.0,22845.16,32140.92,6936.0,1138.5,848.83,60317.5,6292.83,5365.58,3271.58,27730.0,57468.67,370.0,33764.42,1957.0,16710.17,2936.0,743.0,15400.75,8697.17,571178.34,1306.5,24304.66,1061.0,3161989.08,1670317.33,13138.42,1054.5,205048.58,281142.66,59061.67,15698.34,5559.5,14.0,1469.25,2244.14,804.0,1121.57,10640.0,631.5,1023.29,1023.29,277888.58,6191.5,70281.58,20958.0,98791.83,487.0,809.0,3337.75,2977.33,21193.0,8107.67,3110.25,78.0,18732.5,43206.42,46921.37,33800.33,1219.17,619079.32,577.33,439820.42,12385.67,167417.67,3939.0,382134.17,258249.17,466958.21,4060.0,28690.67,157621.0,60559.17,2007.67,126725.59,1223.58,311550.0,24684.17,59152.67,157.0,18492.0,1607.67,16150.0,7198.0,3964.0,4855.92,2274.34,4226.0,890.83,95134.42,910.83,3304.0,12795.42,193028.0,65313.5,11473.15,10290.0,19723.92,176.33,3413.0,2604.08,2068.83,31665.33,2047.0,20526.17,15392.0,2771.0,1607.17,97.0,3577.25,18906.67,1031.0,7.0,17.0,18344.5,232.5,483.5,936.17,4549.0,1171.0,930.5,930.5,260.5,9318.17,1944.0,990.0,311.17,1021.5,645.0,898.33,36.0,340.0,4175.0,42.0,1794.25,7580.0,1908.5,4983.5,1084.58,5495.5,56742.31,3590.58,1711.33,6569.67,34.0,44.0,7.0,11.0,8.0,242887.4,1849367.08,21633.84,1502.0,30546.5,19701.42,417382.08,20519.17,1670.0,0
sample_25,7070.84,1858171.88,433298.08,144758.33,325471.75,1283534.89,397668.25,207873.83,171304.0,18816.0,618156.98,142381.42,142381.42,2757.66,519.5,30305.46,6.0,4529.5,1198.5,2257.66,277796.77,29983.21,4.0,87.0,69.33,1563579.69,2967528.24,354355.83,70365.42,96232.0,576.0,246954.5,1030.42,11244.92,146127.52,6622.92,925.0,28544.0,8382.0,29279.66,5912.0,4537.5,4912.0,30897.16,65747.92,12782.5,1843.0,2080.42,85994.5,11387.83,8405.0,5409.42,33708.5,103705.0,769.5,65607.17,5857.0,29030.0,7244.0,840.0,50358.92,21644.0,1230661.84,2756.0,30704.84,1309.0,5898148.0,2617169.42,31526.92,3515.83,398632.92,644760.91,135796.08,37079.0,10562.58,6.0,2607.83,3517.28,2256.66,1757.64,41648.34,2001.0,2730.58,2730.25,526941.0,13625.0,142372.25,59596.0,129901.58,980.0,2724.92,11951.75,5968.0,50850.16,19626.08,9080.5,181.0,31745.33,76289.41,88041.61,67681.33,2407.17,944099.46,1315.33,840420.08,30218.08,342170.17,8737.83,829992.91,637445.33,1214273.33,16490.83,57991.17,324761.83,163983.5,3720.75,292987.41,3016.25,643707.0,52401.33,140159.33,456.75,23950.42,2411.75,29899.5,13481.0,8237.33,10480.92,4064.0,11733.17,1527.0,305233.75,1605.0,6510.33,31749.66,476117.33,143542.67,24800.53,32990.83,44973.0,632.5,5537.0,5425.08,5033.32,46181.0,3522.33,33975.58,28915.5,4475.5,2411.75,1425.5,7064.67,32285.92,2065.17,9.0,35.0,29297.5,570.5,1018.0,1230.92,10041.5,1687.5,1488.16,1481.16,418.0,21767.5,3261.25,1693.5,640.0,3688.67,1047.33,1827.0,823.0,510.0,7671.67,64.0,3931.33,12149.5,3941.5,7271.33,2048.5,9424.0,123442.07,5855.58,4622.0,13602.58,67.5,137.0,36.0,38.0,18.0,481172.42,3626156.71,46088.34,2906.0,72622.83,36399.25,858577.17,20313.08,3634.5,0
sample_26,4945.0,979381.07,223596.41,80560.33,156897.83,749525.32,222624.5,116040.83,109545.34,10093.5,404691.66,69973.0,69973.0,1378.0,264.0,16561.06,67.0,1372.0,838.5,2271.66,118937.18,13452.55,1.0,33.0,42.0,783219.89,1731359.12,224667.0,50184.0,70085.5,174.0,125009.5,521.17,4346.17,62246.44,2268.33,305.0,14016.5,4020.5,16478.16,3472.83,4438.33,2798.5,19682.16,32833.75,8028.5,1186.0,944.25,57607.75,8356.42,4470.75,2348.5,26471.0,56758.67,376.0,31140.42,1869.5,18425.17,6058.66,696.0,22042.08,10490.92,545415.0,1301.0,17808.5,755.0,2652476.83,1094028.17,15481.58,2343.5,203449.17,328210.75,79849.58,20509.16,6348.5,8.5,922.0,1831.64,1171.66,914.82,26098.5,1330.0,1340.33,1340.33,316234.17,5205.0,78237.75,36601.83,98630.33,416.0,709.67,3179.0,1838.0,33512.84,9585.5,2634.83,60.0,18162.75,41817.5,52404.62,34073.0,1465.17,491347.98,553.5,458540.5,21687.33,236834.33,5599.5,469603.17,410656.06,838701.12,10331.0,33074.83,185713.0,92619.08,1853.92,166237.25,1738.75,292141.92,30813.0,75415.33,468.0,15351.75,857.5,30564.5,12989.0,4318.0,4042.17,2633.16,4882.67,720.0,146649.92,918.83,3161.5,25101.92,176318.83,85996.83,14594.38,15216.17,17948.75,249.5,4429.0,2568.25,1276.83,35098.5,1509.5,28550.83,20810.0,3830.0,857.5,313.25,2917.17,23485.33,714.0,4.0,17.0,14858.33,191.5,520.0,404.25,5573.5,1022.0,608.92,605.42,356.0,14622.42,1664.83,915.5,394.33,2198.33,623.0,664.0,139.0,365.0,4828.17,69.0,2920.67,7874.0,1883.0,4613.0,952.0,6061.0,72848.52,2667.33,1851.33,7489.92,45.0,69.0,26.0,18.0,8.0,297022.23,2117454.51,16076.66,996.0,30508.5,19040.58,401216.92,12889.42,2070.0,0
sample_27,3201.84,885663.77,232032.58,73136.42,126816.33,562687.66,166813.92,93235.5,27777.34,9770.0,238006.66,56990.88,56990.88,1634.16,218.0,9263.1,9.0,2920.0,244.5,452.0,115053.76,12237.3,20.0,344.0,31.0,743650.64,1355483.96,145658.17,21614.33,31922.5,199.5,123965.5,294.25,3753.17,49018.28,3999.42,982.0,18040.42,3840.5,3843.66,2065.33,1373.5,1503.0,8100.66,34888.0,5476.5,608.5,600.5,29194.67,5361.08,4572.25,2869.33,15816.5,41747.83,302.0,15262.42,2389.0,15540.0,2459.34,313.0,20693.17,9126.5,569825.5,1250.83,15429.16,529.0,2962250.83,1158088.75,16047.42,2314.67,221722.0,394995.33,66052.75,15030.0,6747.25,4.0,1644.33,1448.14,987.0,723.07,18551.16,582.0,1259.08,1259.08,256590.83,4865.5,55372.5,29553.5,85292.0,760.0,984.33,3387.33,1844.5,19195.66,9697.0,5197.75,130.0,11569.0,32303.75,38444.87,37524.33,1067.5,384780.16,684.0,399833.42,10211.17,156160.0,1751.0,280760.83,242068.26,448971.05,7842.08,31816.0,127080.5,64336.17,2429.42,129844.41,1351.0,254634.17,25690.0,50746.92,232.5,14800.0,1539.29,13091.5,2916.5,3885.0,7052.75,1587.0,7496.17,622.5,151579.92,715.5,3214.0,12833.58,209281.83,33669.83,10868.03,18727.33,21039.33,75.0,1959.0,3367.67,2270.66,13917.25,1168.0,16189.33,9427.5,815.0,1539.29,457.0,3007.0,12845.83,255.0,12.0,28.0,11806.0,240.0,447.0,856.08,4308.0,601.25,1057.16,1055.16,159.5,8706.92,1308.25,682.5,574.67,2483.08,1122.0,966.0,206.0,223.0,3450.0,36.5,1845.0,3925.83,1959.5,2959.0,1087.0,3480.0,53362.07,4062.33,2485.5,5279.33,37.0,125.0,15.0,15.0,14.0,217597.63,1544476.07,22516.34,1485.5,35740.67,16431.17,285738.92,8064.0,1649.0,0
sample_28,3185.34,918971.09,240657.83,96025.33,138087.25,581462.32,151626.25,96108.5,20233.34,13222.5,212717.66,52130.78,52130.78,1707.0,238.5,8616.18,12.5,2470.0,287.5,402.0,93199.07,11165.84,28.0,450.0,18.0,735990.3,1640337.62,133730.92,19205.33,31912.33,188.5,128606.66,234.5,3390.58,42226.78,2465.83,658.0,25387.67,4114.83,2876.66,2005.0,1321.0,1177.0,5106.84,34687.33,5507.0,699.0,1282.33,24845.33,3541.08,5206.5,3574.75,23101.5,37463.33,283.0,13708.0,1444.5,16735.67,2485.5,314.0,21091.25,7677.83,520374.66,1287.0,14678.66,478.5,2705280.92,1048235.17,18775.0,5552.67,51751.08,436137.08,58080.08,13805.66,8489.5,179.5,1255.5,1340.98,1016.0,669.99,16353.34,1043.5,1459.67,1459.67,246487.25,4704.5,52356.67,27682.25,84251.42,485.0,863.67,2168.33,1397.0,15370.66,9303.75,6070.33,228.0,15491.33,33274.58,37815.24,37103.0,1104.33,355511.16,661.0,401167.5,13711.08,175643.25,1413.0,315370.67,259215.06,473880.87,5882.67,35861.67,127357.67,66453.92,2346.75,129408.16,1401.33,235454.5,25639.83,40993.0,275.5,15738.83,1060.08,13411.0,2146.0,3989.0,4922.0,1830.0,5588.0,825.0,246260.92,686.83,2875.0,10859.5,181115.5,37401.92,14315.65,22641.0,18199.42,49.5,1877.0,2459.08,1674.66,10706.0,1111.0,15926.0,9598.0,733.0,1060.08,764.5,2891.5,11685.5,222.0,12.0,45.5,10016.83,512.25,701.0,545.83,4611.5,368.5,544.91,544.91,214.0,9337.92,1120.5,544.0,446.33,3685.17,1045.67,869.0,308.0,212.0,5131.67,25.0,1665.08,4167.17,1949.5,3163.0,1094.0,4110.0,71010.31,2638.75,3156.0,5125.83,41.0,112.0,27.0,17.0,10.0,272889.97,1680673.07,19804.66,1547.0,42919.0,14972.17,276063.92,8300.67,2369.5,0
sample_29,2681.0,876441.95,211206.5,62264.92,173371.17,604902.98,184422.67,113379.83,101347.84,8386.0,230685.66,74460.78,74460.78,1342.66,196.5,15449.99,10.0,2372.5,479.5,1017.0,104169.16,9207.87,6.0,54.0,82.0,889179.3,1471297.96,193071.0,33535.0,58775.75,233.0,119818.0,568.67,5656.42,79499.08,4142.58,729.0,13264.67,3447.0,15090.16,2555.33,1903.0,1188.0,16436.34,31763.67,5618.0,674.0,780.08,33159.5,6073.67,3870.5,2093.0,15490.0,43825.33,318.0,36885.5,3474.5,17566.33,3017.66,366.0,16269.75,10007.92,521266.16,1186.0,17798.16,643.5,2424915.67,1005888.33,16894.33,1781.83,192284.08,406766.91,62849.08,15563.5,4832.08,9.0,1863.75,1587.3,1284.0,793.15,13056.16,568.0,1296.75,1296.75,294768.17,4918.0,49721.08,29992.0,104639.58,574.0,979.0,2776.08,1706.5,24301.66,8686.25,4802.5,125.0,17821.91,44471.5,47858.62,35406.5,864.33,420312.66,613.5,372455.5,14981.83,200044.92,4282.0,304562.83,265146.24,502187.38,7743.0,29644.0,127115.0,62266.42,2168.75,142587.34,1007.17,238387.67,27015.83,54438.17,194.0,15040.0,1402.25,14640.5,3582.0,4895.0,7351.25,2352.0,7353.0,509.5,105382.5,949.17,2685.67,11061.17,184881.83,76349.67,9940.88,16264.17,21786.92,76.5,3006.0,3600.33,1534.99,27374.0,2077.5,20455.0,18627.5,2371.5,1402.25,185.0,3151.5,21468.83,302.0,2.0,13.0,13823.0,242.0,362.5,415.33,6042.5,1060.0,1167.84,1166.84,193.0,12548.33,894.0,1034.5,368.33,1791.83,509.5,1097.0,41.0,352.0,1976.75,40.0,1792.83,5193.75,1954.5,3184.5,1302.5,3781.0,48869.64,3738.92,1727.58,6217.0,29.0,81.0,13.5,14.0,14.0,182518.5,1432625.67,18811.5,925.5,37808.33,18037.83,252470.5,9505.17,1648.5,0
sample_30,1096.16,1666436.36,398339.24,170163.0,210473.25,895791.65,201241.25,131943.08,46066.0,18155.5,123294.32,95375.38,95375.38,3173.0,495.5,17190.39,8.0,5736.5,214.33,849.0,704164.02,10794.1,11.0,240.0,59.0,817190.72,1058495.14,86310.5,11242.5,63530.5,539.83,75908.84,545.42,6876.92,70649.94,3801.75,410.0,5761.08,5811.0,15541.66,6403.83,1720.0,2094.0,30109.34,25445.0,5565.0,1350.0,272.08,72515.75,6905.0,4482.0,4617.0,21331.5,43942.17,264.0,37091.75,2265.0,9960.83,1283.84,1100.0,16868.17,7306.67,526527.0,1790.5,38895.5,1689.0,3398343.92,2593198.08,9636.5,1074.0,183080.5,179454.58,48875.92,12593.5,6312.75,10.66,2416.0,2531.3,539.66,1265.65,7866.0,1015.0,976.17,976.17,387479.42,9205.5,94962.92,17388.08,78553.67,724.0,704.33,4098.67,3694.0,14595.66,13579.67,1961.5,38.0,18393.08,46206.0,41769.74,29496.5,521.83,939717.16,458.5,379964.92,7138.42,107134.33,2744.83,312831.5,171336.29,367303.65,2020.0,35072.58,176936.33,50908.75,2470.25,96358.67,841.17,388482.5,22714.42,54206.58,260.0,29867.08,3124.71,10442.0,3706.0,3277.5,6565.33,2390.84,5665.83,1147.58,49248.17,577.0,3559.0,11055.33,248352.0,52084.08,10755.82,8367.5,24686.83,213.5,3660.0,2360.83,5304.66,27443.75,2867.5,16718.33,10968.5,2559.5,3124.71,108.33,3091.0,15412.17,649.0,2.0,14.0,15777.5,265.5,588.0,3665.42,5787.0,2629.0,1639.08,1639.08,291.5,7041.5,4787.75,1634.0,520.83,768.5,796.5,747.67,49.0,662.5,2833.58,57.0,1174.0,7046.5,1929.5,6434.33,1410.0,5123.5,53631.52,5926.67,1875.5,8969.33,33.0,57.0,10.0,9.0,3.0,225684.14,1863112.53,45076.66,3452.0,20014.5,13559.33,740470.17,22923.67,1304.5,0
sample_31,2433.66,1427316.47,353924.5,134636.83,151790.67,762946.73,178711.83,102151.83,22941.34,16177.5,212254.16,66280.22,66280.22,1924.34,245.5,10613.16,9.0,2226.5,309.0,509.0,207848.83,14417.94,8.0,238.0,24.5,676391.89,1562628.8,103195.0,19649.83,36149.5,302.0,108661.66,263.42,3483.67,52089.28,2494.0,446.5,12104.0,5700.0,5364.16,2224.67,1648.5,2486.0,13578.34,41411.42,5683.25,942.0,664.75,65696.42,7199.25,5693.5,5959.0,19100.5,47344.75,265.0,13326.17,1423.0,14908.33,1749.5,677.0,22048.17,7151.5,596210.16,1086.83,16251.16,711.5,3274409.75,1750960.0,14831.0,2420.0,162874.75,231954.41,56916.75,13005.16,9103.5,56.0,1126.67,2287.14,908.66,1143.57,15187.0,1073.0,1342.75,1342.75,263356.83,6954.5,76587.83,30440.83,64524.42,539.0,1155.92,5873.33,3832.0,16085.66,9995.08,4107.33,115.0,16332.67,31886.92,36977.37,36145.5,778.83,570902.48,556.0,425636.5,12568.25,140575.92,1385.0,452170.33,215720.11,545040.81,3797.67,29494.17,189502.67,65248.67,2359.17,112473.34,1523.17,387808.0,22813.5,71519.58,283.5,20810.92,1293.87,11851.0,3117.0,2686.0,4644.33,1192.34,5950.75,961.0,114497.67,483.5,3947.0,16797.83,243652.0,33114.83,8997.85,15475.08,21918.17,113.5,2068.0,1315.5,2728.08,10704.75,1699.33,15200.67,6570.5,723.5,1293.87,669.83,3656.5,9754.25,451.5,4.0,31.5,12444.83,286.0,796.0,2281.83,3791.5,718.0,626.84,625.84,151.0,4893.17,2443.0,574.0,513.0,2670.58,1082.83,738.83,488.5,207.0,4489.25,72.5,1567.5,5052.5,1758.5,3243.83,1374.0,6334.0,44404.15,2943.5,2289.0,6503.75,29.0,49.0,16.0,9.0,5.0,261813.82,2006311.35,28221.66,3057.0,27420.17,12944.33,487625.25,11757.42,2264.0,0
sample_32,1402.5,694334.55,147626.08,64745.75,64117.83,385743.07,102986.5,60261.08,10605.16,8854.0,135971.66,38721.2,38721.2,768.66,214.5,5935.36,13.0,1830.0,82.0,242.66,129715.28,10123.6,11.0,139.0,11.0,344930.9,790630.82,59447.0,10346.5,17927.33,213.67,47848.34,123.42,1806.67,26077.64,1265.75,195.0,5695.5,2147.0,2436.0,1363.0,929.5,861.0,6451.66,19039.5,3497.5,574.5,309.5,31721.75,2557.67,2420.0,3590.42,13555.83,38422.5,202.0,7366.5,682.5,8392.33,1008.84,292.0,14159.17,4798.83,362594.84,788.0,8300.16,384.5,2243036.0,1207587.42,8812.83,1241.5,105717.75,123184.83,41984.83,10153.84,5038.0,9.0,602.5,1194.32,433.0,597.16,11869.5,623.0,444.17,444.17,139514.58,5280.0,49170.0,20247.75,30661.58,250.0,435.0,3097.42,2064.0,9200.0,6608.58,1548.75,65.0,7735.25,18987.75,19668.62,22422.5,657.83,359765.48,302.0,254065.17,5271.92,79875.5,675.0,270564.25,130449.62,311656.56,1989.5,15764.5,104389.67,41208.33,1161.5,63475.66,952.25,218886.67,13010.0,39867.17,183.0,12307.5,822.25,3619.5,986.5,1678.5,2387.0,681.34,3354.5,424.0,79647.42,259.0,2002.0,8563.25,145971.83,15870.75,4920.29,6643.83,9911.0,57.5,1003.0,404.83,1886.66,5816.0,831.92,5814.33,2882.0,453.0,820.25,2022.75,1872.83,3866.17,463.0,3.0,11.5,8060.5,139.0,438.5,429.25,1690.83,274.0,358.0,358.0,56.0,2325.33,1743.0,304.0,280.33,1233.83,593.0,384.0,2538.25,88.0,2228.5,21.0,923.25,2961.5,898.5,2209.0,668.0,3239.0,24496.33,1534.83,896.33,3265.17,32.0,44.0,8.0,15.0,12.0,180770.49,1271885.04,15707.5,938.5,16319.0,7827.33,406479.0,6213.75,1122.5,0
