,hsa-miR-585-5p,hsa-miR-448,hsa-miR-10a-5p,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-6861-3p,hsa-let-7c-5p,hsa-miR-888-5p,hsa-miR-1271-5p,hsa-miR-92a-3p,hsa-miR-98-5p,hsa-miR-484,hsa-miR-30b-5p,hsa-miR-425-3p,hsa-miR-4429,hsa-miR-615-3p,hsa-let-7a-5p,hsa-miR-193b-5p,hsa-miR-455-3p,hsa-miR-5680,hsa-miR-1249,hsa-miR-30a-5p,hsa-miR-106a-5p,hsa-miR-324-5p,hsa-miR-431-3p,hsa-miR-196a-5p,hsa-miR-6887-3p,hsa-miR-6810-3p,hsa-miR-29a-3p,hsa-miR-182-5p,hsa-miR-7113-3p,hsa-miR-3663-5p,hsa-miR-671-3p,hsa-miR-616-3p,hsa-miR-211-3p,hsa-miR-579-5p,hsa-miR-146b-3p,hsa-miR-31-3p,hsa-miR-1180-3p,hsa-miR-1269b,hsa-miR-6895-3p,hsa-miR-770-5p,hsa-miR-222-3p,hsa-miR-4646-3p,hsa-miR-148b-3p,hsa-miR-4428,hsa-miR-660-5p,hsa-miR-3150a-5p,hsa-miR-3167,hsa-miR-7157-5p,hsa-miR-3591-3p,hsa-miR-501-5p,hsa-miR-6864-5p,hsa-miR-3612,hsa-miR-449c-5p,hsa-miR-27a-3p,hsa-miR-148a-3p,hsa-miR-6830-3p,hsa-miR-4798-5p,hsa-miR-203b-5p,hsa-miR-6759-5p,hsa-miR-515-3p,hsa-miR-6884-5p,hsa-miR-30e-5p,hsa-miR-337-5p,hsa-miR-488-5p,hsa-miR-146b-5p,hsa-miR-125b-2-3p,hsa-miR-4536-3p,hsa-miR-27b-3p,hsa-miR-1248,hsa-miR-6852-3p,hsa-miR-101-5p,hsa-miR-455-5p,hsa-miR-1185-1-3p,hsa-miR-4667-3p,hsa-miR-1297,hsa-miR-548m,hsa-miR-4286,hsa-miR-576-5p,hsa-miR-873-5p,hsa-miR-3667-5p,hsa-miR-210-3p,hsa-miR-4659a-5p,hsa-miR-4476,hsa-miR-1291,hsa-miR-34c-3p,hsa-miR-370-5p,hsa-miR-423-3p,hsa-let-7d-3p,hsa-miR-3182,hsa-miR-345-3p,hsa-miR-504-5p,hsa-miR-3681-5p,hsa-miR-26a-2-3p,hsa-miR-6515-3p,hsa-miR-339-3p,hsa-miR-6818-5p,hsa-miR-4714-3p,hsa-miR-7845-5p,hsa-miR-6881-3p,hsa-miR-653-3p,hsa-miR-152-3p,hsa-miR-3168,hsa-miR-92a-1-5p,hsa-miR-4999-5p,hsa-miR-3684,hsa-miR-377-3p,hsa-miR-1910-5p,hsa-miR-6846-3p,hsa-miR-4444,hsa-miR-10b-5p,hsa-miR-155-5p,hsa-miR-520a-5p,hsa-miR-202-5p,hsa-miR-487a-3p,hsa-miR-6826-3p,hsa-miR-365a-5p,hsa-miR-652-5p,hsa-miR-518b,hsa-miR-3130-3p,hsa-miR-320b,hsa-miR-5010-3p,hsa-miR-6866-5p,hsa-miR-1197,hsa-miR-7-1-3p,hsa-miR-452-3p,hsa-miR-92b-3p,hsa-miR-629-3p,hsa-miR-1185-2-3p,hsa-miR-194-5p,hsa-miR-5001-3p,hsa-miR-362-3p,hsa-miR-3202,hsa-miR-4787-3p,hsa-miR-214-5p,hsa-miR-485-3p,hsa-miR-6838-5p,hsa-miR-2681-3p,hsa-miR-6729-5p,hsa-miR-4635,hsa-let-7a-3p,hsa-miR-548l,hsa-miR-24-1-5p,hsa-miR-3925-3p,hsa-miR-191-3p,hsa-miR-326,hsa-miR-3613-5p,hsa-miR-6862-3p,hsa-miR-3911,hsa-miR-5699-5p,hsa-miR-4639-3p,hsa-miR-199a-3p,hsa-miR-149-3p,hsa-miR-3140-3p,hsa-miR-483-3p,hsa-miR-642b-5p,hsa-miR-514a-5p,hsa-miR-6812-3p,hsa-miR-193a-3p,hsa-miR-520b,hsa-miR-6792-3p,hsa-miR-3934-3p,hsa-miR-520c-3p,hsa-miR-578,hsa-miR-664b-3p,hsa-miR-4677-5p,hsa-miR-3656,hsa-miR-3192-5p,hsa-miR-135b-5p,hsa-miR-26a-1-3p,hsa-miR-6739-3p,hsa-miR-6747-3p,hsa-miR-5001-5p,hsa-miR-23c,hsa-miR-3664-3p,hsa-miR-1269a,hsa-miR-3912-3p,hsa-miR-3125,hsa-miR-502-3p,hsa-miR-548ap-3p,hsa-miR-585-3p,hsa-miR-194-3p,hsa-miR-4510,hsa-miR-4524a-3p,hsa-miR-486-3p,hsa-miR-3176,hsa-miR-196b-5p,hsa-miR-6844,hsa-miR-154-3p,hsa-miR-6794-3p,hsa-miR-1307-3p,hsa-miR-195-5p,hsa-miR-5695,hsa-miR-224-5p,hsa-miR-222-5p,hsa-miR-3622a-5p,hsa-miR-6891-5p,hsa-miR-7706,Disese Group
sample_25,10.0,57.0,6.0,769.5,2756.0,19.0,6.25,144758.33,67.5,576.0,46088.34,20313.08,1230.92,163983.5,7064.67,19.83,36.5,1858171.88,565.0,570.5,10.0,69.33,324761.83,27.0,8237.33,1254.5,6.0,3.0,11.0,829992.91,5898148.0,4.0,5.0,284.33,45.33,338.33,26.0,107.5,456.75,4529.5,4.75,79.0,219.0,2658.67,12.42,103705.0,4.0,9424.0,8.0,8.0,4.0,296.17,94.0,23.0,9.0,4.0,30218.08,33708.5,3.0,46.0,2730.25,1.0,1.0,4.0,140159.33,1605.0,1198.83,5409.42,272.33,163.92,342170.17,22.0,0.83,951.42,1018.0,1198.5,37.5,47.75,23.5,3.92,867.0,3092.92,0.0,59596.0,0.5,4.0,370.83,4.0,477.5,2411.75,2406.0,2.33,37.0,1047.33,16.0,2407.17,34.0,6510.33,7.0,21.0,1.0,138.0,57.0,29030.0,0.0,27.0,504.83,4.0,242.0,154.0,3.0,7.66,50.0,840.0,2.5,7.0,418.0,7.5,10.0,28.0,40.0,11.5,420.09,136.0,42.0,483.0,12569.83,9.0,2906.0,86.5,42.5,37079.0,28.5,93.0,20.16,30.0,59.0,10041.5,4.0,194.0,1.0,4.0,7070.84,16.5,13.5,4.0,984.0,1138.17,856.58,0.0,0.0,79.0,9.0,3517.28,7.0,21.0,1.0,246.96,6.99,21.5,5.0,1.83,2.5,1.0,1.83,14.0,88.5,16.0,0.0,45.5,5912.0,164.0,15.0,88.75,4.0,5.33,25.0,1.0,173.0,147.25,487.0,0.0,64.0,112.0,0.0,28.75,1488.16,7.0,1.0,6.0,110.0,115.83,2266.0,10562.58,36.42,181.0,7.0,11.5,0.5,138.0,0
sample_26,12.0,35.0,67.0,376.0,1301.0,7.0,2.0,80560.33,45.0,174.0,16076.66,12889.42,404.25,92619.08,2917.17,4.0,8.0,979381.07,265.5,191.5,15.0,42.0,185713.0,8.5,4318.0,745.5,8.5,6.0,1.0,469603.17,2652476.83,0.0,2.0,103.5,23.17,195.17,4.0,44.5,468.0,1372.0,0.0,28.0,136.0,953.75,3.33,56758.67,4.0,6061.0,2.0,8.0,5.0,179.0,42.0,6.0,4.0,0.0,21687.33,26471.0,1.0,27.0,1340.33,0.0,1.0,0.0,75415.33,918.83,694.0,2348.5,198.0,100.66,236834.33,20.0,2.25,423.0,520.0,838.5,8.0,26.75,5.0,3.25,331.33,2170.75,0.0,36601.83,0.5,0.0,126.0,1.0,365.0,857.5,1022.0,1.33,9.0,623.0,11.0,1465.17,20.0,3161.5,3.0,6.0,1.0,38.0,29.0,18425.17,0.0,14.0,236.5,2.0,176.0,34.0,1.0,3.84,17.0,696.0,2.5,3.0,356.0,0.0,6.0,21.0,14.0,4.0,132.0,72.5,15.0,865.5,7268.0,4.0,996.0,40.5,116.5,20509.16,27.0,84.0,11.0,19.0,15.0,5573.5,1.0,75.0,0.0,1.0,4945.0,6.0,6.5,1.0,519.0,562.17,605.42,1.0,1.0,30.0,3.0,1831.64,5.0,3.0,1.0,78.0,9.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,55.0,10.0,0.25,16.5,3472.83,100.5,14.0,29.0,0.0,2.0,18.0,10.0,138.5,2.0,224.08,0.0,69.0,41.0,0.0,16.5,608.92,2.0,0.0,6.0,94.0,39.5,676.0,6348.5,17.83,60.0,1.0,1.0,1.0,44.5,0
sample_27,10.5,46.0,9.0,302.0,1250.83,6.0,2.0,73136.42,37.0,199.5,22516.34,8064.0,856.08,64336.17,3007.0,17.0,33.5,885663.77,367.0,240.0,7.0,31.0,127080.5,10.5,3885.0,514.0,4.0,17.0,2.0,280760.83,2962250.83,8.0,5.0,167.75,23.0,430.0,7.0,82.0,232.5,2920.0,0.0,31.0,95.33,921.0,10.67,41747.83,7.0,3480.0,2.5,4.0,5.0,133.75,54.0,10.0,0.0,0.0,10211.17,15816.5,2.0,31.0,1259.08,0.0,0.0,3.0,50746.92,715.5,511.0,2869.33,119.0,86.34,156160.0,24.0,0.58,266.5,447.0,244.5,8.08,24.83,23.0,4.25,330.0,1109.33,0.0,29553.5,0.0,0.0,320.0,0.0,171.0,1539.29,1844.5,3.33,36.0,1122.0,4.0,1067.5,3.0,3214.0,0.0,9.0,4.0,41.0,20.0,15540.0,0.67,21.0,40.5,2.0,102.0,108.0,1.0,5.66,25.0,313.0,2.0,1.0,159.5,20.0,10.0,17.0,11.0,5.5,238.67,70.83,17.0,106.0,6176.5,12.0,1485.5,70.5,69.5,15030.0,24.0,29.0,8.66,25.25,28.75,4308.0,0.0,45.0,0.0,3.0,3201.84,9.0,3.5,0.0,555.0,409.58,433.42,3.0,0.0,43.0,6.0,1448.14,0.0,7.0,0.5,291.33,5.01,7.0,2.0,1.33,0.0,2.0,1.33,2.0,47.5,4.0,0.0,24.5,2065.33,115.5,4.0,53.0,3.0,3.0,14.0,7.0,53.0,54.5,249.83,0.0,36.5,101.5,0.0,19.75,1057.16,1.0,0.0,1.0,42.0,57.0,1680.5,6747.25,18.67,130.0,2.0,6.5,1.0,88.0,0
sample_28,3.0,35.0,12.5,283.0,1287.0,10.0,3.75,96025.33,41.0,188.5,19804.66,8300.67,545.83,66453.92,2891.5,6.83,16.0,918971.09,216.5,512.25,5.0,18.0,127357.67,8.0,3989.0,405.5,179.5,25.0,5.5,315370.67,2705280.92,2.0,8.0,101.33,26.0,274.42,7.0,83.5,275.5,2470.0,0.0,47.0,88.0,997.5,10.0,37463.33,6.0,4110.0,5.0,8.0,6.0,175.5,63.0,4.0,2.0,0.0,13711.08,23101.5,1.0,30.0,1459.67,0.0,1.0,1.0,40993.0,686.83,590.33,3574.75,173.0,54.0,175643.25,13.0,0.0,237.0,701.0,287.5,23.25,13.83,12.0,3.33,355.67,1395.75,0.0,27682.25,0.25,0.5,287.5,2.0,150.0,1060.08,1415.0,3.33,9.0,1045.67,0.0,1104.33,8.0,2875.0,3.0,4.0,1.0,51.5,45.25,16735.67,1.83,9.0,195.5,1.0,83.0,71.0,1.0,9.84,47.0,314.0,2.0,3.0,214.0,4.0,7.0,11.0,14.0,6.5,215.5,74.83,15.0,117.5,5650.83,12.0,1547.0,59.0,82.5,13805.66,16.33,55.0,9.66,25.0,25.5,4611.5,1.0,49.5,0.0,1.0,3185.34,2.5,5.0,0.0,471.0,425.67,375.17,0.0,0.0,38.5,5.0,1340.98,3.0,4.0,1.5,251.83,3.0,6.0,5.0,0.33,1.0,2.0,0.33,5.0,54.33,6.0,0.0,17.0,2005.0,130.5,8.0,38.5,9.0,3.0,10.0,9.0,68.0,69.5,248.75,0.0,25.0,65.5,0.0,18.42,544.91,3.0,1.0,8.0,59.0,47.0,1276.0,8489.5,15.17,228.0,0.0,4.5,0.0,85.0,0
sample_29,8.0,25.0,10.0,318.0,1186.0,5.0,5.08,62264.92,29.0,233.0,18811.5,9505.17,415.33,62266.42,3151.5,9.0,24.0,876441.95,413.0,242.0,8.0,82.0,127115.0,12.5,4895.0,861.5,9.0,21.0,2.0,304562.83,2424915.67,3.0,7.0,139.83,25.75,283.08,14.0,58.0,194.0,2372.5,0.33,29.0,103.0,950.25,8.33,43825.33,5.0,3781.0,3.5,3.0,3.0,201.0,44.33,10.0,4.0,0.0,14981.83,15490.0,6.0,26.0,1296.75,1.0,0.0,2.0,54438.17,949.17,441.17,2093.0,119.5,63.5,200044.92,13.0,0.0,276.83,362.5,479.5,14.75,17.08,3.5,2.33,386.83,1170.0,0.0,29992.0,0.0,0.0,210.0,2.0,322.0,1402.25,1649.5,2.0,25.0,509.5,13.0,864.33,21.33,2685.67,2.0,14.0,0.0,42.0,13.0,17566.33,1.92,10.0,2.33,2.0,79.0,57.0,3.0,2.34,17.0,366.0,1.0,0.0,193.0,51.5,10.0,18.0,12.0,4.5,228.16,79.0,22.0,288.0,5280.0,2.0,925.5,61.5,102.5,15563.5,14.0,32.0,12.66,25.0,21.5,6042.5,2.0,58.0,0.0,2.0,2681.0,10.0,7.33,2.0,590.5,597.75,272.33,2.0,0.0,29.0,4.0,1587.3,2.0,5.0,0.0,166.08,2.01,12.0,1.0,0.0,4.5,1.33,0.0,11.0,42.0,5.0,0.0,21.0,2555.33,67.5,3.0,56.5,0.0,6.0,16.0,5.0,73.0,6.0,205.33,0.0,40.0,67.5,0.0,16.5,1167.84,2.0,1.0,4.0,64.0,86.0,1268.0,4832.08,15.0,125.0,4.0,3.5,1.0,73.0,0
sample_30,4.0,42.0,8.0,264.0,1790.5,5.0,7.0,170163.0,33.0,539.83,45076.66,22923.67,3665.42,50908.75,3091.0,29.33,8.0,1666436.36,244.0,265.5,3.0,59.0,176936.33,9.5,3277.5,471.0,10.66,34.0,5.0,312831.5,3398343.92,3.0,10.0,300.0,21.0,260.67,7.0,71.58,260.0,5736.5,0.0,28.0,157.0,956.0,18.5,43942.17,1.0,5123.5,5.5,16.0,5.0,122.25,52.0,6.0,12.0,0.0,7138.42,21331.5,3.0,19.0,976.17,0.0,0.0,2.0,54206.58,577.0,425.0,4617.0,1272.25,80.34,107134.33,24.0,0.25,375.08,588.0,214.33,25.0,29.33,8.0,11.5,866.42,843.83,0.0,17388.08,0.0,0.0,183.0,9.0,116.0,3124.71,812.0,1.33,18.0,796.5,10.0,521.83,32.0,3559.0,1.0,12.0,4.83,96.0,8.0,9960.83,0.0,25.0,109.0,2.0,334.0,56.0,4.0,3.66,56.0,1100.0,1.0,0.0,291.5,3.0,16.0,23.0,11.0,11.5,768.82,213.5,65.0,167.0,2846.5,2.0,3452.0,53.0,55.33,12593.5,34.0,41.0,4.0,17.0,11.0,5787.0,2.0,37.33,0.25,2.0,1096.16,19.5,12.25,0.0,458.5,770.58,278.75,0.0,1.0,40.5,1.0,2531.3,0.5,10.0,1.5,154.83,3.0,10.0,4.0,0.33,0.5,0.0,0.33,6.0,106.83,12.0,0.0,11.0,6403.83,35.0,14.0,115.5,6.0,5.0,9.0,2.0,67.0,5.5,374.0,0.0,57.0,46.5,0.0,14.0,1639.08,13.0,3.0,6.0,41.0,58.5,2341.0,6312.75,11.17,38.0,5.0,11.25,0.0,94.0,0
sample_31,11.5,44.0,9.0,265.0,1086.83,9.0,1.5,134636.83,29.0,302.0,28221.66,11757.42,2281.83,65248.67,3656.5,15.83,13.0,1427316.47,237.0,286.0,7.0,24.5,189502.67,7.33,2686.0,302.0,56.0,12.0,1.0,452170.33,3274409.75,0.0,30.0,119.58,19.75,181.17,11.0,105.33,283.5,2226.5,0.0,27.0,109.5,672.5,8.33,47344.75,3.0,6334.0,4.0,12.0,1.0,121.25,44.0,5.0,3.0,1.0,12568.25,19100.5,0.0,27.0,1342.75,0.0,2.0,4.0,71519.58,483.5,568.33,5959.0,357.33,77.84,140575.92,17.0,0.0,385.75,796.0,309.0,8.5,23.83,10.5,2.0,431.08,1330.42,0.0,30440.83,0.25,0.0,147.0,1.0,76.0,1293.87,989.0,2.25,12.0,1082.83,5.0,778.83,12.0,3947.0,3.0,8.0,3.25,59.0,34.0,14908.33,0.0,7.0,225.5,1.0,112.0,53.5,3.0,6.66,52.0,677.0,0.0,1.0,151.0,3.0,6.0,14.0,7.0,4.5,321.34,101.5,38.5,84.0,4286.83,4.0,3057.0,46.0,84.0,13005.16,33.0,63.0,5.0,31.0,19.62,3791.5,3.0,43.0,0.0,4.0,2433.66,9.0,7.0,1.0,406.0,434.83,409.0,0.0,0.0,55.0,3.0,2287.14,0.0,5.0,3.5,290.21,5.01,6.0,10.0,0.0,0.0,1.0,0.0,8.0,77.5,6.0,0.0,26.0,2224.67,78.0,11.0,36.5,0.0,1.0,6.0,10.0,82.0,8.5,338.67,0.0,72.5,47.0,1.0,10.75,626.84,0.0,6.0,2.0,27.0,45.0,1224.0,9103.5,16.33,115.0,2.0,2.5,0.0,71.0,0
sample_32,4.0,43.0,13.0,202.0,788.0,5.0,3.0,64745.75,32.0,213.67,15707.5,6213.75,429.25,41208.33,1872.83,8.5,18.0,694334.55,60.0,139.0,3.0,11.0,104389.67,4.0,1678.5,95.0,9.0,13.5,0.0,270564.25,2243036.0,2.0,9.0,63.5,11.0,64.58,12.0,50.5,183.0,1830.0,0.0,11.0,47.0,259.0,3.0,38422.5,2.0,3239.0,3.0,0.0,2.0,75.17,17.0,6.0,8.0,4.0,5271.92,13555.83,3.0,15.0,444.17,0.0,0.0,2.0,39867.17,259.0,354.5,3590.42,174.33,45.0,79875.5,12.0,0.0,272.5,438.5,82.0,5.0,0.5,10.83,0.5,282.58,546.17,0.0,20247.75,1.0,0.0,138.0,5.0,36.0,820.25,420.0,1.67,22.0,593.0,0.0,657.83,4.0,2002.0,3.0,12.0,1.0,36.0,14.0,8392.33,0.0,10.0,126.5,1.0,68.0,28.0,0.0,3.34,16.0,292.0,0.0,2.0,56.0,8.0,4.0,24.0,1.0,5.0,136.16,58.5,20.0,36.0,2133.67,3.0,938.5,23.0,22.0,10153.84,10.0,33.0,2.66,19.33,9.0,1690.83,1.0,14.0,0.0,0.0,1402.5,2.0,4.0,2.0,214.0,212.67,246.75,1.0,0.0,38.5,2.0,1194.32,0.0,2.0,0.5,111.83,0.99,1.0,0.0,0.0,0.0,0.0,0.0,6.0,35.5,5.0,0.0,12.0,1363.0,31.0,6.0,23.0,4.0,0.0,4.0,3.0,51.0,2.0,167.17,0.0,21.0,35.5,1.0,8.0,358.0,1.0,2.0,2.0,13.0,18.0,523.0,5038.0,5.33,65.0,1.0,1.0,0.0,50.0,0
sample_33,2.0,33.0,32.0,507.0,1498.5,6.0,2.5,84306.08,19.0,187.5,22580.0,5543.33,397.5,30380.0,2306.17,9.0,40.0,1153565.45,220.0,199.5,9.0,15.0,100344.33,13.5,2909.5,312.0,13.0,12.0,2.0,276555.33,4202860.75,4.0,8.0,188.25,22.75,164.83,6.0,140.0,104.5,2793.0,0.0,18.0,64.0,477.75,17.67,42421.0,2.0,2500.0,1.5,8.0,4.0,133.25,38.5,6.0,2.0,0.0,5034.67,32249.0,0.0,46.0,455.79,0.0,0.0,5.0,33791.92,265.5,267.0,2522.33,174.83,55.5,142388.08,2.0,0.25,155.75,370.0,206.5,9.75,4.67,12.0,5.0,342.33,704.58,0.0,21439.75,0.0,2.0,247.25,4.0,100.0,1366.0,1772.0,0.0,25.0,1845.33,4.0,780.58,16.0,2251.5,1.0,6.0,3.0,58.0,15.0,12919.67,0.0,17.0,149.5,2.0,40.0,91.0,0.0,5.34,19.0,597.0,1.0,0.0,97.0,1.0,3.0,9.0,9.0,4.0,194.84,73.5,34.0,42.0,2197.17,7.0,1394.5,34.0,59.5,8578.34,17.0,17.0,7.0,30.0,24.17,4096.0,1.0,25.0,0.0,0.0,1502.0,4.0,3.5,2.0,639.5,160.42,238.25,3.0,1.0,44.0,2.0,1863.64,5.0,7.0,1.83,214.46,0.0,7.0,1.0,0.67,2.0,1.0,0.67,3.0,34.0,3.0,0.0,25.5,1288.33,65.0,3.0,45.33,5.0,0.0,4.5,2.0,48.0,103.0,226.08,0.0,27.0,86.0,1.0,12.75,593.84,2.0,1.0,2.5,59.0,39.0,1661.0,5260.83,20.5,187.0,0.0,4.0,1.0,89.5,0
sample_34,0.0,32.0,11.0,517.5,1056.5,6.0,2.0,87267.5,39.0,235.0,40640.84,7396.25,1786.42,28624.25,2853.33,13.5,9.0,1156942.33,170.0,207.5,16.0,2.0,106332.5,7.0,2974.0,294.0,12.0,2.0,0.0,329310.17,4459961.67,1.0,8.0,170.83,26.83,119.42,15.0,129.83,139.0,4221.0,0.0,22.0,68.0,596.0,5.33,49367.33,2.0,3821.0,2.5,4.0,3.0,242.25,78.0,4.0,0.0,0.0,4640.17,31372.83,0.0,36.0,497.25,0.0,1.0,2.0,32582.5,217.83,383.83,2227.92,606.5,60.26,145833.67,1.0,0.25,133.5,561.0,150.83,4.0,3.67,7.0,2.25,633.67,675.0,1.0,22708.5,0.25,0.0,271.0,4.0,95.5,3123.0,1086.5,1.0,14.0,2715.5,5.0,677.5,10.0,3828.0,4.0,5.0,9.5,76.5,19.0,10846.17,0.0,32.0,2.0,1.0,30.0,52.0,0.0,4.34,27.0,778.0,1.0,2.0,112.0,1.0,6.0,4.0,10.0,2.0,338.0,132.0,35.0,20.0,2819.67,2.0,5781.5,29.5,51.83,6981.16,34.0,23.0,4.66,7.0,17.17,1697.0,1.0,22.0,0.5,3.0,1154.84,10.0,4.5,0.0,468.0,213.5,191.0,0.0,2.0,49.0,1.0,1764.64,1.0,7.0,1.5,317.71,0.99,2.0,0.0,1.67,1.0,2.0,1.67,3.5,49.0,11.0,0.25,22.0,1636.33,60.5,5.0,50.0,8.0,2.0,4.0,11.0,45.0,120.0,303.33,0.0,31.0,76.5,1.0,3.0,595.08,7.0,1.0,1.0,62.0,22.0,2140.0,4815.33,14.33,133.0,2.0,2.5,3.0,80.0,0
sample_35,4.0,28.0,13.0,392.0,1623.5,13.0,2.83,82160.42,67.0,259.0,22246.84,8700.83,1035.5,69089.5,2723.0,6.0,21.0,1061832.11,161.0,368.0,5.5,19.0,131302.5,9.0,3454.5,272.5,6.0,6.0,6.0,360357.83,3574674.5,3.0,2.0,111.0,26.5,146.75,13.0,102.0,177.0,2342.0,0.75,34.0,101.0,1130.0,7.83,48936.17,2.0,3578.0,1.0,4.0,2.0,115.5,47.0,8.0,4.0,1.0,10871.5,22056.5,5.0,28.0,1389.12,0.0,1.0,0.0,51827.42,573.17,554.5,3181.5,166.5,77.66,155035.33,11.0,0.58,268.5,563.0,264.5,15.0,4.08,11.0,1.75,394.92,1079.5,0.0,19640.75,0.0,0.0,230.5,2.0,126.0,1085.08,1545.0,0.67,21.0,1036.5,8.5,1119.5,16.0,3007.83,3.0,6.0,2.25,73.0,30.0,14075.33,0.33,15.0,202.5,4.0,51.0,91.0,0.0,7.84,18.0,349.0,2.0,1.0,148.0,2.0,4.0,15.0,13.0,6.0,235.0,107.0,22.5,66.0,5665.5,10.0,1805.5,32.0,27.5,15025.66,16.0,55.0,6.0,23.0,29.5,3908.0,0.0,45.0,2.0,0.0,2733.34,6.5,4.5,0.0,424.5,347.17,425.33,0.0,0.0,41.0,2.0,1778.8,1.0,8.0,1.5,153.25,3.0,6.5,2.0,0.67,1.0,1.0,0.67,2.0,66.5,6.0,0.0,17.5,2040.83,89.5,2.0,48.5,1.0,1.0,7.0,1.0,61.0,83.0,224.33,0.0,20.0,75.0,2.0,16.5,730.34,1.0,1.0,5.0,48.0,37.0,1465.0,7785.67,16.0,149.0,2.0,4.5,1.0,68.0,0
sample_36,7.0,37.0,7.0,342.0,1440.0,9.0,1.75,105970.83,22.0,238.5,24333.84,9293.33,402.92,68667.17,2482.33,5.5,13.0,1252890.32,198.0,414.0,13.0,12.0,124010.17,13.5,4280.25,334.5,9.0,9.33,4.0,361609.92,3673884.42,3.0,4.0,155.83,17.5,283.0,7.0,131.83,220.0,2603.0,0.0,32.0,138.0,1235.5,5.33,45366.58,4.0,3677.0,1.5,6.0,3.0,148.25,34.0,6.0,1.0,0.0,10847.25,25245.5,0.0,26.0,1542.75,1.0,0.0,7.0,44413.0,496.0,646.5,4138.08,166.0,86.34,144647.92,7.0,0.25,213.33,542.5,337.0,11.0,7.0,10.33,4.75,382.5,1166.33,0.0,25915.5,0.0,0.0,399.5,10.0,161.0,1272.88,2121.5,1.0,12.0,943.33,3.0,1318.33,11.0,2873.0,2.0,6.0,0.0,54.0,29.0,17919.92,0.83,28.0,102.5,1.0,39.0,105.5,0.0,3.5,6.0,470.0,2.0,0.0,216.0,15.0,3.0,15.0,14.0,7.5,170.66,110.25,20.0,85.0,4250.0,12.0,1554.0,44.5,82.0,12866.0,22.0,25.0,10.0,21.0,25.92,4997.0,0.0,43.0,0.0,3.0,2730.16,14.0,7.5,0.0,542.0,392.0,448.75,0.0,2.0,47.0,4.0,1752.14,2.0,7.0,1.0,156.17,6.0,9.0,2.0,0.67,1.0,1.0,0.67,9.0,38.5,10.0,0.0,39.5,1921.67,149.0,4.0,43.0,0.0,4.0,11.0,37.0,75.0,90.5,242.67,0.0,27.0,80.5,0.0,12.75,1331.34,1.0,4.0,3.0,51.0,45.5,1342.0,6726.75,19.33,282.0,7.0,7.75,0.0,52.5,0
sample_37,6.5,42.0,17.0,244.0,1087.0,20.0,2.0,244416.25,178.0,473.0,32970.66,17514.92,2083.0,43196.5,1978.0,19.83,6.0,1672968.6,177.0,324.5,7.0,17.0,215931.67,10.0,2304.0,183.5,97.0,16.0,1.0,329443.17,1841007.42,2.0,0.0,225.17,25.0,236.67,7.0,122.0,556.5,3929.0,0.0,25.0,150.0,1854.25,5.0,31653.0,1.0,4945.0,3.0,1.0,3.0,124.25,40.0,3.0,36.0,3.0,7638.25,35174.33,1.0,49.0,301.25,2.0,1.0,3.0,42156.92,478.67,472.83,10209.5,1869.58,57.5,70755.08,8.0,0.0,211.25,1080.5,175.5,8.0,3.58,0.0,12.83,693.67,541.0,0.0,8811.75,0.5,0.0,134.58,10.0,66.0,2379.58,591.0,2.67,18.0,1102.17,2.0,447.0,10.0,3247.0,0.0,7.0,0.75,34.0,49.17,12501.83,0.0,11.0,85.5,7.0,376.0,20.0,0.0,3.66,29.0,561.0,2.5,1.0,308.0,1.0,21.0,23.0,16.0,4.5,615.66,161.5,49.0,66.0,1688.58,36.5,2820.0,35.0,60.5,10683.5,51.0,49.0,5.0,20.0,7.0,2461.5,0.0,16.0,0.0,1.0,1038.66,11.5,13.83,3.0,262.5,495.17,369.0,2.0,2.0,33.5,3.0,1686.8,0.0,6.0,16.33,148.17,4.74,2.0,13.0,0.33,1.0,1.0,0.33,2.0,81.5,10.25,0.0,17.0,10802.33,48.0,8.0,40.0,0.0,4.0,7.0,5.0,98.5,108.83,407.33,0.0,74.5,34.0,3.0,4.0,1306.24,7.0,0.0,5.0,67.0,27.0,1291.0,10495.75,11.0,475.0,2.0,12.5,2.0,41.0,0
